c_symbol	lua_name	code_bytes	calls_in_scripts
LuaAddDiceItemInfo	AddDiceItemInfo	571	1
LuaTONG_DistributeOfferToGroup	TONG_DistributeOfferToGroup	540	1
LuaLG_GetMemberJoinTime	LG_GetMemberJoinTime	536	1
LuaAddMoneyObj	AddMoneyObj	469	1
LuaApplyItemDice	ApplyItemDice	469	1
LuaTripC_Apply	TripC_Apply	461	1
LuaNW_Enthrone	NW_Enthrone	458	1
LuaRollItem	RollItem	447	1
LuaTONG_ContributeOffer	TONG_ContributeOffer	438	1
LuaTONG_ApplyKickMember	TONG_ApplyKickMember	426	1
LuaTONG_DistributeOfferToMember	TONG_DistributeOfferToMember	426	1
LuaChangeTeamFeature	ChangeTeamFeature	405	1
LuaSignUpCityWar	SignUpCityWar	385	1
LuaGetNextItemIndexInRoom	GetNextItemIndexInRoom	379	1
LuaGetPlayerInfo	GetPlayerInfo	379	1
LuaSyncCitySummary	SyncCitySummary	358	1
LuaOB_PushDouble	OB_PushDouble	342	1
LuaUnBindItem	UnBindItem	312	1
LuaLG_GetMemberObj	LG_GetMemberObj	306	1
LuaAddRespect	AddRespect	291	1
LuaAppointChallenger	AppointChallenger	290	1
LuaGetChooseCount	GetChooseCount	288	1
LuaUpgradePlatinaFromGoldItem	UpgradePlatinaFromGoldItem	282	1
LuaTableSDD_Close	TableSDD_Close	275	1
LuaTableSDD_Open	TableSDD_Open	275	1
LuaQueryRoleName	QueryRoleName	265	1
LuaSetArenaCredits	SetArenaCredits	261	1
LuaNW_SetNationTitle	NW_SetNationTitle	258	1
LuaCalcAutoHangPlayerCount	CalcAutoHangPlayerCount	252	1
LuaSetMapParam	SetMapParam	252	1
LuaGetLevelExp	GetLevelExp	251	1
LuaTONG_ApplySetTongMapBan	TONG_ApplySetTongMapBan	250	1
LuaTONG_ApplySetStunt	TONG_ApplySetStunt	242	1
LuaSetMangonelParam	SetMangonelParam	240	1
LuaGetNpcTong	GetNpcTong	234	1
LuaGetRoleCreateDate	GetRoleCreateDate	234	1
LuaTONGM_ApplyAddOffer	TONGM_ApplyAddOffer	234	1
LuaTONGM_ApplySetLastOnlineDate	TONGM_ApplySetLastOnlineDate	234	1
LuaTWS_ApplySetDayOutput	TWS_ApplySetDayOutput	234	1
LuaOB_PopDouble	OB_PopDouble	225	1
LuaNW_ForbidChat	NW_ForbidChat	220	1
LuaCalcEnhanceExp	CalcEnhanceExp	218	1
LuaSetAutoHangMapFlag	SetAutoHangMapFlag	217	1
LuaNW_Levy	NW_Levy	215	1
LuaOB_PopByte	OB_PopByte	215	1
LuaTONG_GetExpLevel	TONG_GetExpLevel	215	1
LuaNW_OpenCongratulation	NW_OpenCongratulation	214	1
LuaTaskTip	TaskTip	206	1
LuaGetAllCitySummary	GetAllCitySummary	203	1
LuaTONG_ApplyAddDay	TONG_ApplyAddDay	203	1
LuaTONG_ApplyAddStoredOffer	TONG_ApplyAddStoredOffer	203	1
LuaTONG_ApplyAddTotalBuildFund	TONG_ApplyAddTotalBuildFund	203	1
LuaTONG_ApplyAddWeek	TONG_ApplyAddWeek	203	1
LuaTONG_ApplySetLWeekGoalEvent	TONG_ApplySetLWeekGoalEvent	203	1
LuaTONG_ApplySetLWeekGoalLevel	TONG_ApplySetLWeekGoalLevel	203	1
LuaTONG_ApplySetLWeekGoalPlayer	TONG_ApplySetLWeekGoalPlayer	203	1
LuaTONG_ApplySetLWeekGoalPricePlayer	TONG_ApplySetLWeekGoalPricePlayer	203	1
LuaTONG_ApplySetLWeekGoalPriceTong	TONG_ApplySetLWeekGoalPriceTong	203	1
LuaTONG_ApplySetLWeekGoalTotal	TONG_ApplySetLWeekGoalTotal	203	1
LuaTONG_ApplySetLWeekGoalValue	TONG_ApplySetLWeekGoalValue	203	1
LuaTONG_ApplySetWeekBuildFund	TONG_ApplySetWeekBuildFund	203	1
LuaTONG_ApplySetWeekGoalValue	TONG_ApplySetWeekGoalValue	203	1
LuaTONG_ApplySetTongMap	TONG_ApplySetTongMap	202	1
LuaTONG_GetOnlineCount	TONG_GetOnlineCount	202	1
LuaNW_GetSealInfo	NW_GetSealInfo	201	1
LuaTWS_ApplyMaintain	TWS_ApplyMaintain	199	1
LuaIsSeriesConquer	IsSeriesConquer	197	1
LuaOpenHelp	OpenHelp	196	1
LuaTrimString	TrimString	191	1
LuaSetMapType	SetMapType	190	1
LuaSetWorldName	SetWorldName	187	1
LuaSetWeeklyOffer	SetWeeklyOffer	182	1
LuaSetSiegeVoitureParam	SetSiegeVoitureParam	179	1
LuaDelObject	DelObject	172	1
LuaGetArenaTotalLevelByCity	GetArenaTotalLevelByCity	172	1
LuaGetItemPrice	GetItemPrice	167	1
LuaGetRepairDurPrice	GetRepairDurPrice	162	1
LuaGetTongMemberCount	GetTongMemberCount	155	1
LuaSetTaskValue	SetTaskValue	155	1
LuaTONG_GetLWeekGoalPlayer	TONG_GetLWeekGoalPlayer	155	1
LuaTONG_GetLWeekGoalPricePlayer	TONG_GetLWeekGoalPricePlayer	155	1
LuaTONG_GetLWeekGoalPriceTong	TONG_GetLWeekGoalPriceTong	155	1
LuaTONG_GetOccupyCityDay	TONG_GetOccupyCityDay	155	1
LuaTONG_GetWeekGoalLevel	TONG_GetWeekGoalLevel	155	1
LuaTONG_GetWeekGoalPricePlayer	TONG_GetWeekGoalPricePlayer	155	1
LuaTONG_GetWeekGoalPriceTong	TONG_GetWeekGoalPriceTong	155	1
LuaTONG_GetWeekGoalTotal	TONG_GetWeekGoalTotal	155	1
LuaTONG_GetWeekGoalValue	TONG_GetWeekGoalValue	155	1
LuaGetPtMagicAttrExValue	GetPtMagicAttrExValue	154	1
LuaTongClaimWar	TongClaimWar	154	1
LuaGetItemSeries	GetItemSeries	150	1
LuaNW_AwardEmperor	NW_AwardEmperor	150	1
LuaTONGM_GetJoinDay	TONGM_GetJoinDay	150	1
LuaTONGM_GetLWeekGoalOffer	TONGM_GetLWeekGoalOffer	150	1
LuaTONGM_GetRetireDate	TONGM_GetRetireDate	150	1
LuaGetItemHeight	GetItemHeight	146	1
LuaGetItemWidth	GetItemWidth	146	1
LuaLoginDelaySync	LoginDelaySync	144	1
LuaGetMapTrapCount	GetMapTrapCount	141	1
LuaOB_Clear	OB_Clear	137	1
LuaGetItemExchangeValue	GetItemExchangeValue	136	1
LuaIsDisabledStall	IsDisabledStall	131	1
LuaIsDisabledUseHeart	IsDisabledUseHeart	131	1
LuaIsOwnFeatureChanged	IsOwnFeatureChanged	131	1
LuaNpcDialog	NpcDialog	124	1
LuaGetCityWarTongCamp	GetCityWarTongCamp	122	1
LuaMantle	Mantle	121	1
LuaIniFile_UnLoad	IniFile_UnLoad	119	1
LuaGMCancleBoxPassword	GMCancleBoxPassword	117	1
LuaGetOrgMaxDurability	GetOrgMaxDurability	117	1
LuaTONG_ApplyWeeklyMaintain	TONG_ApplyWeeklyMaintain	117	1
LuaSetTireTime	SetTireTime	115	1
LuaTONG_IsExist	TONG_IsExist	115	1
LuaGetArenaTotalLevel	GetArenaTotalLevel	111	1
LuaGetAccrueSeries	GetAccrueSeries	108	1
LuaGetConquerSeries	GetConquerSeries	108	1
LuaPlayerLevelUp	PlayerLevelUp	106	1
LuaNW_GetRemark	NW_GetRemark	103	1
LuaGetArenaCredits	GetArenaCredits	100	1
LuaGetBoxMoney	GetBoxMoney	99	1
LuaNW_Abdicate	NW_Abdicate	90	1
LuaNumber2Int	Number2Int	81	1
LuaGetArenaLevel	GetArenaLevel	80	1
LuaGetPlayerFortuneRank	GetPlayerFortuneRank	75	1
LuaGetFirstPlayerAtServer	GetFirstPlayerAtServer	47	1
LuaGetNextPlayerAtServer	GetNextPlayerAtServer	47	1
LuaIsGSHaveFreeMap	IsGSHaveFreeMap	47	1
LuaTripC_GetServerCount	TripC_GetServerCount	47	1
LuaGetNpcFreeCount	GetNpcFreeCount	43	1
LuaGetPayTicketCount	GetPayTicketCount	43	1
LuaSTAT_GetGoodsCount	STAT_GetGoodsCount	34	1
LuaGetPlayerMagicAttrib	GetPlayerMagicAttrib	3679	0
LuaTong_GetLogData	Tong_GetLogData	2704	0
LuaDescribeUI	DescribeUI	1514	0
LuaSTAT_SearchGoodsSaledItem	STAT_SearchGoodsSaledItem	1474	0
Lua_GiveItemUI	_GiveItemUI	1421	0
LuaPriseUI	PriseUI	1309	0
LuaSelectUI	SelectUI	1225	0
LuaAddMissionPlayer	AddMissionPlayer	1159	0
LuaRemoveMissionPlayer	RemoveMissionPlayer	1079	0
LuaCloseGlobalMission	CloseGlobalMission	916	0
LuaMissionMsg2Group	MissionMsg2Group	914	0
LuaTalkUI	TalkUI	902	0
LuaTONG_GetTongByRoleName	TONG_GetTongByRoleName	899	0
Lua_IncludeLib	_IncludeLib	851	0
LuaMissionPlayerCount	MissionPlayerCount	837	0
LuaGetMissionPlayerParam	GetMissionPlayerParam	802	0
LuaAddGlobalTimeNews	AddGlobalTimeNews	800	0
LuaAddLocalTimeNews	AddLocalTimeNews	800	0
LuaStartGlobalMissionTimer	StartGlobalMissionTimer	795	0
LuaSetMissionPlayerParam	SetMissionPlayerParam	791	0
Lua_NPCINFO_AddBlueNpc	_NPCINFO_AddBlueNpc	773	0
LuaInitGlobalMission	InitGlobalMission	771	0
LuaMissionMsg2Player	MissionMsg2Player	764	0
LuaPlayerJoinMission	PlayerJoinMission	757	0
LuaOutputMonsterPos	OutputMonsterPos	753	0
LuaGetMissionRestTime	GetMissionRestTime	727	0
LuaStopGlobalMissionTimer	StopGlobalMissionTimer	713	0
LuaGetMissionPlayer_DataIndex	GetMissionPlayer_DataIndex	695	0
Lua_AddTitle	_AddTitle	688	0
Lua_SaveSDB2Relay	_SaveSDB2Relay	642	0
LuaGetMissionPlayer_PlayerIndex	GetMissionPlayer_PlayerIndex	639	0
LuaGetPlayerMissionGroup	GetPlayerMissionGroup	636	0
Lua_BT_SendMemberCount	_BT_SendMemberCount	633	0
LuaMissionMsg2All	MissionMsg2All	625	0
LuaRunGlobalMission	RunGlobalMission	586	0
LuaAttackNpc	AttackNpc	580	0
LuaLotteryGetLatestPrizeInfo	LotteryGetLatestPrizeInfo	572	0
LuaAddTongMTask	AddTongMTask	554	0
LuaAddSomeObj	AddSomeObj	530	0
LuaGetSignUpTongName	GetSignUpTongName	504	0
LuaOB_Append	OB_Append	491	0
LuaGetDockPos	GetDockPos	485	0
LuaDiceLootItem	DiceLootItem	465	0
Lua_ITEM_DropItemFromRate	_ITEM_DropItemFromRate	463	0
LuaOB_Copy	OB_Copy	458	0
LuaTabFile_SetCell	TabFile_SetCell	417	0
LuaGMTongAddMember	GMTongAddMember	415	0
Lua_AddExpInMap	_AddExpInMap	412	0
LuaClearSomeObj	ClearSomeObj	410	0
Lua_SDBLadder_NewLadderData	_SDBLadder_NewLadderData	410	0
LuaEnterNewWorld	EnterNewWorld	408	0
LuaGetAroundPlayerList	GetAroundPlayerList	402	0
LuaTWS_ApplyDegrade	TWS_ApplyDegrade	400	0
LuaTWS_ApplyUpgrade	TWS_ApplyUpgrade	400	0
LuaWriteStatLog	WriteStatLog	393	0
Lua_BT_SendLadderNo	_BT_SendLadderNo	392	0
LuaDoMarryDismiss	DoMarryDismiss	391	0
LuaSetDeathRevivalPos	SetDeathRevivalPos	386	0
LuaAddTempItem	AddTempItem	379	0
LuaAddPlayerWayPoint	AddPlayerWayPoint	378	0
LuaSetHighLightPos	SetHighLightPos	378	0
LuaCreateATeam	CreateATeam	371	0
Lua_GetLadderInfo	_GetLadderInfo	370	0
LuaGetNewWorldPos	GetNewWorldPos	364	0
LuaLotteryCheckPrize	LotteryCheckPrize	361	0
LuaSaveMaskFeature	SaveMaskFeature	361	0
LuaGetLevelUpExp	GetLevelUpExp	360	0
LuaOpenDiceGame	OpenDiceGame	360	0
Lua_GetBattleParam	_GetBattleParam	356	0
LuaTONG_ApplyUpgrade	TONG_ApplyUpgrade	352	0
LuaSetPlayerLightResist	SetPlayerLightResist	350	0
LuaTableSDD_GetHeight	TableSDD_GetHeight	350	0
Lua_BattleSortMySelf	_BattleSortMySelf	348	0
LuaGetEquipValue	GetEquipValue	342	0
LuaSendMessageInfo	SendMessageInfo	334	0
LuaGetTaskItemCount	GetTaskItemCount	325	0
LuaGetTaskItemCountEx	GetTaskItemCountEx	325	0
LuaSetPlayerColdResist	SetPlayerColdResist	318	0
LuaSetPlayerFireResist	SetPlayerFireResist	318	0
LuaSetPlayerPhysicsResist	SetPlayerPhysicsResist	318	0
LuaSetPlayerPoisonResist	SetPlayerPoisonResist	318	0
LuaFile_CreateFile	File_CreateFile	316	0
LuaGetPlayerColdResist	GetPlayerColdResist	314	0
LuaGetPlayerFireResist	GetPlayerFireResist	314	0
LuaGetPlayerLightResist	GetPlayerLightResist	314	0
LuaGetPlayerPhysicsResist	GetPlayerPhysicsResist	314	0
LuaGetPlayerPoisonResist	GetPlayerPoisonResist	314	0
LuaGetPlayerStation	GetPlayerStation	312	0
Lua_BT_GetLadderInfo	_BT_GetLadderInfo	312	0
Lua_SortWorldLadder	_SortWorldLadder	306	0
LuaIncludeFile	IncludeFile	303	0
LuaLG_GetLeagueCreateTime	LG_GetLeagueCreateTime	302	0
Lua_GetTitleInfo	_GetTitleInfo	295	0
LuaGetQuestionAnswer	GetQuestionAnswer	294	0
LuaUnPack	UnPack	293	0
LuaLotteryGenerateItem	LotteryGenerateItem	292	0
Lua_ChatRoom_CreateRoom	_ChatRoom_CreateRoom	292	0
Lua_ChatRoom_EnterRoom	_ChatRoom_EnterRoom	292	0
LuaGetQuestionBeginPayTime	GetQuestionBeginPayTime	288	0
LuaGetQuestionEndPayTime	GetQuestionEndPayTime	288	0
Lua_Battle_UpdateMemberCount	_Battle_UpdateMemberCount	288	0
LuaTellPos	TellPos	287	0
Lua_LoadMap	_LoadMap	287	0
Lua_TM_SetTimer	_TM_SetTimer	286	0
LuaTONGM_ApplyAddRight	TONGM_ApplyAddRight	285	0
LuaTONGM_ApplyDelRight	TONGM_ApplyDelRight	285	0
LuaAddArenaCredits	AddArenaCredits	283	0
LuaIsOpeningModule	IsOpeningModule	281	0
LuaReduceRespect	ReduceRespect	280	0
LuaSetImmediately_Skill	SetImmediately_Skill	279	0
Lua_BattleClearAllData	_BattleClearAllData	278	0
LuaAskAuctionStatus	AskAuctionStatus	276	0
LuaGetQuestionString	GetQuestionString	275	0
LuaGetTaskAward	GetTaskAward	274	0
LuaGetTaskCondition	GetTaskCondition	274	0
LuaGetTaskEntity	GetTaskEntity	274	0
LuaGetTaskEvent	GetTaskEvent	274	0
LuaGetTaskTalk	GetTaskTalk	274	0
LuaMsgToTeam	MsgToTeam	273	0
LuaTWS_ApplyAddTaskValue	TWS_ApplyAddTaskValue	273	0
LuaTWS_ApplyAddUTaskValue	TWS_ApplyAddUTaskValue	273	0
LuaModifyPlayerExp	ModifyPlayerExp	272	0
LuaReduceArenaCredits	ReduceArenaCredits	272	0
LuaGetRevivalIDWXY	GetRevivalIDWXY	268	0
LuaMsgToIP	MsgToIP	267	0
LuaSetMaxResist	SetMaxResist	267	0
Lua_ITEM_FindNext	_ITEM_FindNext	267	0
LuaKickOutAccount	KickOutAccount	266	0
LuaKickOutPlayer	KickOutPlayer	266	0
LuaTONG_ChangeMemberFearure	TONG_ChangeMemberFearure	263	0
LuaSetNpcActionScript	SetNpcActionScript	262	0
LuaDoSth	DoSth	261	0
LuaTONGM_ApplyAddTaskValue	TONGM_ApplyAddTaskValue	261	0
LuaTONGM_ApplyAddUTaskValue	TONGM_ApplyAddUTaskValue	261	0
LuaModifyRepute	ModifyRepute	260	0
LuaNW_Dismiss	NW_Dismiss	258	0
Lua_ChatRoom_ChangePassword	_ChatRoom_ChangePassword	257	0
Lua_ChatRoom_KickOut	_ChatRoom_KickOut	257	0
Lua_ChatRoom_Prevent	_ChatRoom_Prevent	257	0
Lua_ChatRoom_UnPrevent	_ChatRoom_UnPrevent	257	0
Lua_BT_GetTopTenInfo	_BT_GetTopTenInfo	255	0
Lua_SetTypeBonus	_SetTypeBonus	249	0
LuaDelMapTrap	DelMapTrap	246	0
LuaNW_Instate	NW_Instate	244	0
LuaIniFile_SaveFile	IniFile_SaveFile	243	0
LuaSetPlatinaMagicIndex	SetPlatinaMagicIndex	237	0
LuaBotValidateClient	BotValidateClient	235	0
LuaTONG_ApplyAddUTaskValue	TONG_ApplyAddUTaskValue	235	0
LuaAddRandomItemForAutoHang	AddRandomItemForAutoHang	234	0
LuaGetPlayerMana	GetPlayerMana	234	0
LuaGetPlayerStamina	GetPlayerStamina	234	0
LuaTONGM_ApplyAddLWeekGoalOffer	TONGM_ApplyAddLWeekGoalOffer	234	0
LuaTONGM_ApplyAddLWeeklyOffer	TONGM_ApplyAddLWeeklyOffer	234	0
LuaTONGM_ApplyAddLastOnlineDate	TONGM_ApplyAddLastOnlineDate	234	0
LuaTONGM_ApplyAddMoney	TONGM_ApplyAddMoney	234	0
LuaTONGM_ApplyAddOfferEx	TONGM_ApplyAddOfferEx	234	0
LuaTONGM_ApplyAddRetireDate	TONGM_ApplyAddRetireDate	234	0
LuaTONGM_ApplyAddULWeekGoalOffer	TONGM_ApplyAddULWeekGoalOffer	234	0
LuaTONGM_ApplyAddULWeeklyOffer	TONGM_ApplyAddULWeeklyOffer	234	0
LuaTONGM_ApplyAddULastOnlineDate	TONGM_ApplyAddULastOnlineDate	234	0
LuaTONGM_ApplyAddUMoney	TONGM_ApplyAddUMoney	234	0
LuaTONGM_ApplyAddURetireDate	TONGM_ApplyAddURetireDate	234	0
LuaTONGM_ApplySetLWeekGoalOffer	TONGM_ApplySetLWeekGoalOffer	234	0
LuaTONGM_ApplySetLWeeklyOffer	TONGM_ApplySetLWeeklyOffer	234	0
LuaTONGM_ApplySetMoney	TONGM_ApplySetMoney	234	0
LuaTWS_ApplyAddUDayOutput	TWS_ApplyAddUDayOutput	234	0
Lua_GetTypeBonus	_GetTypeBonus	234	0
LuaAskKillerStatus	AskKillerStatus	230	0
LuaForceTransferTax	ForceTransferTax	230	0
LuaGetTeamMemberId	GetTeamMemberId	229	0
LuaLotteryGetDesc	LotteryGetDesc	229	0
LuaMsgToMap	MsgToMap	228	0
LuaKillNpc	KillNpc	227	0
LuaAddPlayerStation	AddPlayerStation	226	0
LuaGetMaxResist	GetMaxResist	223	0
LuaGetRoleCreateTime	GetRoleCreateTime	222	0
LuaSetItemExchangeValue	SetItemExchangeValue	221	0
LuaSetItemFortuneValue	SetItemFortuneValue	221	0
LuaDisabledChatCity	DisabledChatCity	219	0
LuaDisabledChatWorld	DisabledChatWorld	219	0
LuaEHSetCurDurability	EHSetCurDurability	218	0
LuaGetPlayerLife	GetPlayerLife	218	0
LuaSetPlayerFlag	SetPlayerFlag	218	0
LuaTONG_ApplySetAnnouncement	TONG_ApplySetAnnouncement	218	0
LuaGetFailedItem	GetFailedItem	216	0
LuaGetSaleMoney	GetSaleMoney	216	0
LuaTONG_GetUExpLevel	TONG_GetUExpLevel	215	0
LuaSetBotRefuseLogin	SetBotRefuseLogin	214	0
LuaSetMissionString	SetMissionString	212	0
LuaSetNpcPos	SetNpcPos	212	0
Lua_SetNpcScriptParam	_SetNpcScriptParam	211	0
LuaGMTongSetAddTime	GMTongSetAddTime	210	0
LuaSetDeathPunish	SetDeathPunish	210	0
LuaTWS_ApplyAdd	TWS_ApplyAdd	207	0
Lua_BattleBroadGameDataToAll	_BattleBroadGameDataToAll	207	0
LuaSetPlayerFortuneRank	SetPlayerFortuneRank	206	0
LuaSetTaskStringValue	SetTaskStringValue	206	0
LuaGetPlayerWayPoint	GetPlayerWayPoint	205	0
LuaNumOfSignUpTongs	NumOfSignUpTongs	204	0
Lua_BattleSetData	_BattleSetData	204	0
LuaTONG_ApplyAddBuildLevel	TONG_ApplyAddBuildLevel	203	0
LuaTONG_ApplyAddCredit	TONG_ApplyAddCredit	203	0
LuaTONG_ApplyAddCurCamp	TONG_ApplyAddCurCamp	203	0
LuaTONG_ApplyAddCurWeekGoalLevel	TONG_ApplyAddCurWeekGoalLevel	203	0
LuaTONG_ApplyAddExp	TONG_ApplyAddExp	203	0
LuaTONG_ApplyAddLWeekGoalEvent	TONG_ApplyAddLWeekGoalEvent	203	0
LuaTONG_ApplyAddLWeekGoalLevel	TONG_ApplyAddLWeekGoalLevel	203	0
LuaTONG_ApplyAddLWeekGoalPlayer	TONG_ApplyAddLWeekGoalPlayer	203	0
LuaTONG_ApplyAddLWeekGoalPricePlayer	TONG_ApplyAddLWeekGoalPricePlayer	203	0
LuaTONG_ApplyAddLWeekGoalPriceTong	TONG_ApplyAddLWeekGoalPriceTong	203	0
LuaTONG_ApplyAddLWeekGoalTotal	TONG_ApplyAddLWeekGoalTotal	203	0
LuaTONG_ApplyAddLWeekGoalValue	TONG_ApplyAddLWeekGoalValue	203	0
LuaTONG_ApplyAddMaintainFund	TONG_ApplyAddMaintainFund	203	0
LuaTONG_ApplyAddOccupyCityDay	TONG_ApplyAddOccupyCityDay	203	0
LuaTONG_ApplyAddPauseState	TONG_ApplyAddPauseState	203	0
LuaTONG_ApplyAddPremium	TONG_ApplyAddPremium	203	0
LuaTONG_ApplyAddSelfCamp	TONG_ApplyAddSelfCamp	203	0
LuaTONG_ApplyAddUBuildFund	TONG_ApplyAddUBuildFund	203	0
LuaTONG_ApplyAddUBuildLevel	TONG_ApplyAddUBuildLevel	203	0
LuaTONG_ApplyAddUCredit	TONG_ApplyAddUCredit	203	0
LuaTONG_ApplyAddUCurCamp	TONG_ApplyAddUCurCamp	203	0
LuaTONG_ApplyAddUCurWeekGoalLevel	TONG_ApplyAddUCurWeekGoalLevel	203	0
LuaTONG_ApplyAddUDay	TONG_ApplyAddUDay	203	0
LuaTONG_ApplyAddUExp	TONG_ApplyAddUExp	203	0
LuaTONG_ApplyAddULWeekGoalEvent	TONG_ApplyAddULWeekGoalEvent	203	0
LuaTONG_ApplyAddULWeekGoalLevel	TONG_ApplyAddULWeekGoalLevel	203	0
LuaTONG_ApplyAddULWeekGoalPlayer	TONG_ApplyAddULWeekGoalPlayer	203	0
LuaTONG_ApplyAddULWeekGoalPricePlayer	TONG_ApplyAddULWeekGoalPricePlayer	203	0
LuaTONG_ApplyAddULWeekGoalPriceTong	TONG_ApplyAddULWeekGoalPriceTong	203	0
LuaTONG_ApplyAddULWeekGoalTotal	TONG_ApplyAddULWeekGoalTotal	203	0
LuaTONG_ApplyAddULWeekGoalValue	TONG_ApplyAddULWeekGoalValue	203	0
LuaTONG_ApplyAddUMaintainFund	TONG_ApplyAddUMaintainFund	203	0
LuaTONG_ApplyAddUOccupyCityDay	TONG_ApplyAddUOccupyCityDay	203	0
LuaTONG_ApplyAddUPauseState	TONG_ApplyAddUPauseState	203	0
LuaTONG_ApplyAddUPerStandFund	TONG_ApplyAddUPerStandFund	203	0
LuaTONG_ApplyAddUPremium	TONG_ApplyAddUPremium	203	0
LuaTONG_ApplyAddUSelfCamp	TONG_ApplyAddUSelfCamp	203	0
LuaTONG_ApplyAddUStoredBuildFund	TONG_ApplyAddUStoredBuildFund	203	0
LuaTONG_ApplyAddUStoredOffer	TONG_ApplyAddUStoredOffer	203	0
LuaTONG_ApplyAddUTotalBuildFund	TONG_ApplyAddUTotalBuildFund	203	0
LuaTONG_ApplyAddUWarBuildFund	TONG_ApplyAddUWarBuildFund	203	0
LuaTONG_ApplyAddUWeek	TONG_ApplyAddUWeek	203	0
LuaTONG_ApplyAddUWeekBuildFund	TONG_ApplyAddUWeekBuildFund	203	0
LuaTONG_ApplyAddUWeekBuildUpper	TONG_ApplyAddUWeekBuildUpper	203	0
LuaTONG_ApplyAddUWeekGoalEvent	TONG_ApplyAddUWeekGoalEvent	203	0
LuaTONG_ApplyAddUWeekGoalLevel	TONG_ApplyAddUWeekGoalLevel	203	0
LuaTONG_ApplyAddUWeekGoalPlayer	TONG_ApplyAddUWeekGoalPlayer	203	0
LuaTONG_ApplyAddUWeekGoalPricePlayer	TONG_ApplyAddUWeekGoalPricePlayer	203	0
LuaTONG_ApplyAddUWeekGoalPriceTong	TONG_ApplyAddUWeekGoalPriceTong	203	0
LuaTONG_ApplyAddUWeekGoalTotal	TONG_ApplyAddUWeekGoalTotal	203	0
LuaTONG_ApplyAddUWeekGoalValue	TONG_ApplyAddUWeekGoalValue	203	0
LuaTONG_ApplyAddWeekBuildUpper	TONG_ApplyAddWeekBuildUpper	203	0
LuaTONG_ApplyAddWeekGoalEvent	TONG_ApplyAddWeekGoalEvent	203	0
LuaTONG_ApplyAddWeekGoalLevel	TONG_ApplyAddWeekGoalLevel	203	0
LuaTONG_ApplyAddWeekGoalPlayer	TONG_ApplyAddWeekGoalPlayer	203	0
LuaTONG_ApplyAddWeekGoalPricePlayer	TONG_ApplyAddWeekGoalPricePlayer	203	0
LuaTONG_ApplyAddWeekGoalPriceTong	TONG_ApplyAddWeekGoalPriceTong	203	0
LuaTONG_ApplyAddWeekGoalTotal	TONG_ApplyAddWeekGoalTotal	203	0
LuaTONG_ApplySetBuildFund	TONG_ApplySetBuildFund	203	0
LuaTONG_ApplySetBuildLevel	TONG_ApplySetBuildLevel	203	0
LuaTONG_ApplySetCredit	TONG_ApplySetCredit	203	0
LuaTONG_ApplySetCurCamp	TONG_ApplySetCurCamp	203	0
LuaTONG_ApplySetDay	TONG_ApplySetDay	203	0
LuaTONG_ApplySetExp	TONG_ApplySetExp	203	0
LuaTONG_ApplySetPremium	TONG_ApplySetPremium	203	0
LuaTONG_ApplySetSelfCamp	TONG_ApplySetSelfCamp	203	0
LuaTONG_ApplySetStoredBuildFund	TONG_ApplySetStoredBuildFund	203	0
LuaTONG_ApplySetStoredOffer	TONG_ApplySetStoredOffer	203	0
LuaTONG_ApplySetTotalBuildFund	TONG_ApplySetTotalBuildFund	203	0
LuaTONG_ApplySetWarBuildFund	TONG_ApplySetWarBuildFund	203	0
LuaTONG_ApplySetWeek	TONG_ApplySetWeek	203	0
LuaTONG_ApplySetWeekBuildUpper	TONG_ApplySetWeekBuildUpper	203	0
LuaGetSkillCountInFact	GetSkillCountInFact	202	0
LuaTONG_ApplyCreateMap	TONG_ApplyCreateMap	202	0
Lua_TM_HasTimer	_TM_HasTimer	202	0
Lua_TM_IsTimerSuspending	_TM_IsTimerSuspending	202	0
Lua_TM_ResumeTimer	_TM_ResumeTimer	202	0
Lua_TM_SuspendTimer	_TM_SuspendTimer	202	0
LuaGetDock	GetDock	201	0
LuaSetGlobalTradeFlag	SetGlobalTradeFlag	201	0
LuaGetWayPointFightState	GetWayPointFightState	200	0
LuaGetSkillIdInSkillList	GetSkillIdInSkillList	199	0
LuaMsgToGameMaster	MsgToGameMaster	199	0
LuaTWS_ApplyClose	TWS_ApplyClose	199	0
LuaTWS_ApplyOpen	TWS_ApplyOpen	199	0
LuaTWS_ApplyRemove	TWS_ApplyRemove	199	0
LuaSetPlayerRevivalPos	SetPlayerRevivalPos	198	0
LuaTONG_GetUTaskValue	TONG_GetUTaskValue	198	0
LuaIsSeriesAccrue	IsSeriesAccrue	197	0
LuaSetTempTaskValue	SetTempTaskValue	197	0
LuaTONGM_GetUTaskValue	TONGM_GetUTaskValue	197	0
LuaGetItemParamLevel	GetItemParamLevel	196	0
Lua_BattleSetViewPoint	_BattleSetViewPoint	196	0
Lua_ChatRoom_LeaveRoom	_ChatRoom_LeaveRoom	196	0
LuaSetDelDupedItemAllInOne	SetDelDupedItemAllInOne	195	0
Lua_ChatRoom_CloseRoom	_ChatRoom_CloseRoom	194	0
Lua_GetTitleList	_GetTitleList	194	0
LuaGetFirstPlayerAtSubWorld	GetFirstPlayerAtSubWorld	193	0
LuaSetStatData	SetStatData	193	0
LuaAddExtPointForGS	AddExtPointForGS	192	0
LuaPlayerPayCoin	PlayerPayCoin	192	0
