lua_name	calls_in_scripts
findgoldboss_Step3	6
FuYuan_Start	6
IsFuYuanAvailable	6
expsv	6
buy_addhunyuan_yes	6
GetRefiningFlag	6
ClearRefiningTime	6
Del	6
festival_award_rank	6
festival_expaward	6
festival_goodsaward	6
festival_getgoodtype	6
AddPlayer	6
IsTimeValid	6
PayPlayerLinkAward	6
writeChapManGoldLog	6
check_faction	6
WhichWarBegin	6
NewcomerStationCommon	6
SelectSay	6
SetTaskState	6
Deng	6
v_fy_awardcheck	6
v_fy_tkvalueadd	6
SetPK	6
ITEM_GetLeftUsageTime	6
guess_at_riddle	6
gquestion	6
Fanghao_Wu	6
_Write2File	6
pFunCall	6
getHWID	6
HoTro_CapSatThuGian	6
_generateWalkPath	6
objCopy	6
SimPickSkill	6
createFormation	6
goiAnhHungThiepNgoaiTrang	6
goiAnhHungThiep	6
createTaskSayKeoxe	6
_createTeamPatrol	6
onPlayerEnterMap	6
retrieveMine	6
showPetList	6
faction	6
maintalk	6
wantpayex	6
expchange_limit	6
payBonus	6
BeiDouChuanGong_UseItem	6
gettabfilestring	6
upgrade_skilllevel	6
SelectSeries	6
IsFreshmanMap	6
EatNei_Wan	6
AddMapValues	6
tl_getMapInfo	6
EnumEventTask	6
_ClearnTaskState	6
GetLeagueJob	6
setPlayerTaskTemp	6
GetApprentice	6
HaveNewLilian	6
GetPlayerMasterLilian	6
race_ItemMapCheck	6
check_pl	6
GetGroupId	6
getMagAttrLvlRange	6
gopos_step2lv90	6
IpResetTask	6
iftrue	6
GetProductName	6
GetList	6
assertFalse	6
take_xp_equip_112	6
new_type	6
AEXP_IsFreeTimeDoubleExp	6
LoadPosition	6
PlayerDeath	6
JoinGame	6
get	6
GetRandomAPos	6
OnFighting	6
close_board_timer	6
current_npc_map	6
cancel_match	6
member_10_group	6
join_tryout	6
clearfairy	6
OnReady	6
GetBonus	6
getSignUpState	6
ChaosTable	6
OnLeaveSetState	6
wlls_get_ms_plidx	6
wlls_remove_camp	6
wlls_award_lg	6
GetMSIdxGroup	6
wlls_get_award_min	6
wlls_checkaward_rank	6
wlls_checkteam	6
wlls_set_expswitch	6
GetPlayerList	6
Decode	6
ClearNpc	6
AddYulongdizi	6
AddBoss	6
AddMonsters	6
cd_addsomenpc	6
ReportEntry	6
GetAwardPoint	6
SetWarriorTong	6
CheckWarriorTongChange	6
GetFieldCount	6
InField	6
festival_putfairy	6
festival_clearfairy	6
festival_affiche	6
festival_change_to_gift	6
festival_givedaoju	6
festival_getman	6
festival_make_nianshou	6
YDBZ_checkdoubleexp	6
YDBZ_ready_kickout	6
CallNpcEx	6
ShowTheKing	6
nw_oninputnationtitle	6
setRandomTaskState	6
clamp_name16	6
Getrangedamagereturn_v	6
Getslowmissle_b	6
Getskill_param1_v	6
Getskill_param2_v	6
Getsteallife_p	6
GetSkillLevelDataByTable	6
Getignoredefense_p	6
Getaddfiredamage_v	6
ExecEx	6
describe_talk	6
lvl120skill_calccount	6
fnCallback	6
zhengbranch4	6
reward_beckon	6
reward_justdoit	6
SetTaskSayColor	6
messenger_gettime	6
PublicMap	6
EnhanceRepair	6
Enhance_Repair	6
rwlp_getjuanshucount	6
createDialog	6
createDiaglog	6
GetNextDate	6
defection_yes	6
L60_get_no	6
go_thd	6
enter_cave	6
L20_get	6
L10_get_no	6
ShowStack	5
RegisteActivityDetailConfig	5
CheckBoatBoss	5
CheckName	5
AddObjNpc	5
UpgradeEquip	5
test	5
GiveTask	5
ValentineResetTask	5
GetNextTime	5
new_dungeon	5
GiveAwardByRate	5
GetTitle	5
tongaward_goldenseed	5
LoadDataFromConfig	5
_CheckCanAccept	5
_CompleteTask	5
IsDuring	5
GetTreeInfo	5
ShowRandomDialog	5
UpdateLastLoginTime	5
NewTemplate	5
kim	5
SetActiveSkill	5
GetCNpcId	5
GetBoxValue	5
isCuoiTuan	5
storm_addpoint	5
bonus_rate	5
battle_finish_activity	5
markMarshal	5
CheckTaskComplete	5
OnlineAward_SummaryOnlineTime	5
OnlineAward_StartTime	5
AddMocNhan	5
OnlineAward_StartDate	5
convertBonusMsg	5
release	5
pFun	5
LIGUAN_TAG	5
GetSelfName	5
CalcResult	5
add_zhuhe_maxexp	5
GetJinnang	5
zhenDanTask_accepte_hand	5
zhenDanTask_delivery_hand	5
fulushounpc_gettask	5
select_tree	5
isPanMaster	5
ConsumeAdditive	5
GetCurBetCount	5
GetSpecAwardCount	5
GetNormalAwardCount	5
GetScore	5
AddCurExpFromOther	5
CheckExpFromOther	5
check_right	5
CreateTree	5
SoldierLimit	5
JxAn_cloud_join	5
getItemAllMagicList	5
cake_ex_gift	5
TM_StopTimer	5
makecake_addexp	5
isNewYearTime	5
checkdate	5
valentine2009_isCarryon	5
OnTimeout	5
sf07_isrightuser	5
tinh	5
storm_award	5
storm_query	5
storm_getaward	5
maketable	5
storm_add_pointex	5
storm_calc_point	5
get_tongwar_phase	5
tongwar_award_log	5
onetong_applyaddmem	5
isRoseMaster	5
valentine2008_Exchange	5
wulin_showqueryfinal	5
wl_get_zonefile_match	5
wl_get_zonefile_actor	5
wl_sureaddmember	5
wl_getmatchopenday	5
wulin_loadfile	5
xmas07_makeSnowMan_isActPeriod	5
xmas07_makeSnowMan_main	5
zhongqiu0808_ActContent	5
GetTongExploit	5
DoExChangeItem	5
help	5
npc	5
IncludeForRegionVer	5
OnExtPointChange_Proc	5
FuYuan_Get	5
tiejiang_village	5
EncodeDateTask	5
AddRefiningTime	5
GetCount	5
Success	5
OnPlayerEvent	5
addAward	5
fit_formed_eq	5
want_split	5
giveaward	5
Task_NewVersionAward	5
tl_getfirstlink	5
Task_Cancel	5
tongaward_tasklink	5
buy_yes	5
PrePay	5
GetPlayerTaskType	5
AssignValue_AwardRate	5
add_random_special_word	5
PraseParam	5
Title_GetActiveTitle	5
CountSpecifiedItem	5
strfill_right	5
SetSeries	5
EH_SetCurDurability	5
_respawn	5
GetNpcAroundNpcList	5
_joinFight	5
_leaveFight	5
BotLadderClear	5
resetPos	5
updateRank	5
SetNpcAtkSpeed	5
SimBotTaunt	5
SetBotSpeed	5
GetPlayerPkMode	5
BuffChar	5
execRestoreLife	5
gan	5
getObjectKeys	5
getCenteredCell	5
genCoords_squareshape	5
faction2DisplayName	5
phe_tudo	5
phe_tudo_xe	5
getSpeed	5
createAnhHung	5
createNpcSet	5
IsThanhThiMap	5
showFactionSkills	5
OnBreak	5
defection_get	5
enroll_select	5
CSP_CheckValid	5
CSP_SwitchTrap	5
TeamEnterHole	5
master_onCancel	5
saypage	5
valentine2008_PlayerDo	5
SkillBookScript	5
rwlp_cleartask	5
GetPlayerDegree	5
FindApprentice	5
GetPlayerLilianCount	5
defFinalCompound	5
gopos_step3	5
check	5
newyear0901_resettask	5
festival_go_back	5
festival_checkinterver	5
OnMagicAttrib	5
festival_go_other_place	5
RegType	5
msgfun	5
setPlayerTask	5
GetLogoutRV	5
AddStackExp	5
GetTiaozhanlingCount	5
CallWithParam	5
FindTimer	5
take_xp_equip_3	5
func_online_rename_role	5
DelayLoad	5
GetLastPos	5
free	5
ProcWaiting	5
SyncCampSize	5
GetCampPoint	5
GetMapData	5
OnHelp	5
get_file_pos	5
start_board_timer	5
close_match	5
get_npc_name	5
name	5
get_npc_level	5
get_npc_series	5
get_npc_count	5
get_batch_count	5
gameover	5
cd_awardall	5
cd_callnpc	5
getCityWarElector	5
MakeFence	5
IsBattleOver	5
wlls_get_level	5
wlls_get_ms_troop	5
wlls_get_ms_damage	5
wlls_levelcheck	5
wlls_transback	5
wlls_query_do	5
wlls_edit_need	5
wlls_get_oneneed	5
wlls_reg_query_do	5
report	5
AddTrap	5
ApplyMap	5
FreeMap	5
NotifyAllMates	5
Finish	5
IsAlive	5
KickPlayer	5
killed_count	5
logout_count	5
MakeGate	5
GetEndRoom	5
transfer_timeout	5
Encode	5
InitStep	5
getTitleByPoint	5
RandomCamp	5
UseGun	5
StartSignup	5
SyncSignup	5
TmpCamp	5
tong	5
m_Camp	5
GetWarriorTimer	5
WritePlayerLog	5
CheckDistance	5
YDBZ_GetTabFileHeight	5
YDBZ_get_npc_id	5
YDBZ_get_npc_name	5
YDBZ_get_npc_level	5
YDBZ_get_npc_series	5
YDBZ_get_npc_count	5
YDBZ_get_npc_isboss	5
YDBZ_add_npc	5
YDBZ_get_randomlist	5
ChangeNpc	5
CheckShowKing	5
CheckPlayerLilian	5
haveLastShituOperation	5
clearGraduateData	5
ToStrNumb	5
CheckIQuestItem	5
ib_nexttask_main	5
ib_nexttask_revert_talk	5
debug_item	5
lvl120skill_delitem	5
ex_add_zl_level20	5
ex_add_zl_level30	5
ex_add_zl_level40	5
ex_add_zl_level50	5
ClearMagicPoint	5
prize1	5
OnTaskExit	5
partner_getpartnerlevel	5
OnTaskSay_Call	5
SetLevel	5
GetWinner	5
wsGetAllDayConsume	5
tongGetBaseMaintainFund	5
getStuntHelp	5
tong_help	5
GetHuoYueDuString	5
GetGoldEquip	5
addContribution	5
getGift	5
getRandomKT	5
BachKim2	5
BachKim	5
tbRandom	5
enroll_get_yes	5
F1	5
F2	5
F3	5
F4	5
task_get	5
T_all	5
T_enroll	5
T_L10	5
T_L20	5
T_L30	5
T_L40	5
T_L50	5
T_L60	5
T_return	5
config	5
task1	5
task2	5
task3	5
o1	5
o2	5
o3	5
o4	5
m1	5
m2	5
m3	5
m4	5
m5	5
m6	5
m7	5
m8	5
m9	5
m10	5
c1	5
c2	5
c3	5
v1	5
v2	5
v3	5
v4	5
v5	5
v6	5
v7	5
v8	5
ok	5
return_uncompleted	5
AskRelayForKillerStatus	5
KillerCallBack	5
QueryTask	5
ModifyTask	5
DoNothing	5
QBJ	5
refuse	5
OtherPlayer_talk	5
check_jewel	5
