struct	size
KTongManagerT<KTongDataSenderT<TongExProtocolRG>,KTongDataSenderT<TongExProtocolGC>,KTongLogic_GameSvr_Apply,KTongLogic_GameSvr_Result,KTongScriptRunner_Core>	612
KTongMember	256
KTongMemberBaseData	9
KTongMemberList<0>	264
KTongMemberList<1>	264
KTongMemberPageData	240
KTongProcess	28
KTongRecord	68
KTongRecordList	48
KTongRightList	52
KTongScriptRunner	4
KTongScriptRunner_Core	4
KTongSendDataToClient	4
KTongSendDataToRelay	4
KTongSetting	1
KTongShowInfo	179
KTongUnion	192
KTongUnionBaseData	18
KTongUnionPageData	460
KTongWar	48
KTongWorkshop	1132
KTongWorkshopList	124
KTongZhaoMuServer	24
KTrade	20
KTrapFileHead	12
KTriDimensionCoord	12
KUiProgressBarData	40
KUnionList	92
KUnionTongList	115
KVersionCfg	8
KWeaponAtlas	1
KWeatherInfo	16
KWeatherMgr	100
KWorkShopAlloctor	8
KWorldMsg	12
KWorldMsgNode	32
KZHAOMU_ACCEPT_OR_REFUSE	38
KZHAOMU_GET_APPLY_INFO	5
KZhaoMuInfo	135
LADDER_DATA	466
LADDER_LIST	7
LADDER_QUERY	4
LADDER_RELAYHEADER_G2R	52
LEADLEVEL	8
LEAGUE_RELAYHEADER	6
L_UTString	24
L_Umaxalign	8
League_RESULT	12
LexState	52
LocVar	12
LocalDispatchMsgChannel	10
MAGICATTR	12
MAP_SUITE_GOLDEQUIP	24
MEMBER_SELF_MIX_DATA	4
MIX_PROTOCOL	132
MapIdIndexPair	6
NOTIFY_CLIENT	9
NOTIFY_SERVER	9
NPCSKILL	48
NPC_CALC_DAMAGE_PARAM	4
NPC_CHGCAMP_SYNC	6
NPC_CHGCURCAMP_SYNC	6
NPC_DEATH_SYNC	5
NPC_FEATURE_SYNC	22
NPC_GOLD_CHANGE_SYNC	7
NPC_JUMP_COMMAND	13
NPC_JUMP_SYNC	13
NPC_NET_COMMAND	22
NPC_NORMAL_SYNC	18
NPC_PET_SYNC	261
NPC_PLAYER_TYPE_NORMAL_SYNC	13
NPC_POS_SYNC	17
NPC_RANKID_SYNC	6
NPC_REMOVE_SYNC	5
NPC_REQUEST_COMMAND	5
NPC_REQUEST_FAIL	5
NPC_REVIVE_SYNC	6
NPC_RUN_COMMAND	13
NPC_RUN_SYNC	13
NPC_SET_MENU_STATE_SYNC	264
NPC_SIT_COMMAND	2
NPC_SIT_SYNC	5
NPC_SKILL_COMMAND	17
NPC_SKILL_SYNC	25
NPC_SLEEP_SYNC	6
NPC_STATE_REQUEST_COMMAND	5
NPC_SYNC	97
NPC_SYNC_STATEINFO	11
NPC_WALK_COMMAND	13
NPC_WALK_SYNC	13
Node	28
OBJ_ADD_SYNC	67
OBJ_MOUSE_CLICK_SYNC	9
OBJ_REQUEST_COMMAND	5
OBJ_SKILL	32
OBJ_SKILL_DATA	32
OBJ_SYNC_DIR	6
OBJ_SYNC_REMOVE	6
OBJ_SYNC_STATE	6
OBJ_SYNC_TRAP_ACT	13
OFFLINELIVE_CLAIM	34
ONE_ATTR_SYNC	9
OPEN_STORE_BOX_SYNC	3
OpProperties	3
PARTNER_CTRL_INFO	5
PARTNER_NAME_SYNC	40
PARTNER_SIMPLE_INFO_1	5
PARTNER_SIMPLE_INFO_2	6
PARTNER_SIMPLE_INFO_4	8
PARTNER_SKILL	9
PARTNER_TASK_VALUE	6
PARTNER_TASK_VALUE_SYNC	14
PING_CLIENTREPLY_COMMAND	9
PING_COMMAND	5
PK_APPLY_ENMITY_COMMAND	5
PK_APPLY_NORMAL_FLAG_COMMAND	2
PK_ENMITY_STATE_SYNC	40
PK_EXERCISE_STATE_SYNC	40
PK_NORMAL_FLAG_SYNC	2
PK_VALUE_SYNC	5
PLAYERCOMM_NOTIFYCHANNELID	40
PLAYER_ADD_BASE_ATTRIBUTE_COMMAND	14
PLAYER_ADD_SKILL_POINT_COMMAND	17
PLAYER_ALL_TASKVALUE_SYNC	641
PLAYER_ATTRIBUTE_SYNC	14
PLAYER_BUY_ITEM_COMMAND	12
PLAYER_DIALOG_NPC_COMMAND	9
PLAYER_DISABLEDFLAG_SYNC	5
PLAYER_DIVIDE_ITEM_COMMAND	10
PLAYER_EAT_ITEM_COMMAND	16
PLAYER_EXP_SYNC2	9
PLAYER_FACTION_DATA	8
PLAYER_FACTION_SKILL_LEVEL	3
PLAYER_GIVEITEMSEND	11
PLAYER_LEAD_EXP_SYNC	5
PLAYER_LEAVE_FACTION	1
PLAYER_LEVEL_UP_SYNC	130
PLAYER_MONEY_SYNC	13
PLAYER_MOVE_ITEM_COMMAND	7
PLAYER_MOVE_ITEM_SYNC	7
PLAYER_NORMAL_SYNC	24
PLAYER_PICKUP_ITEM_COMMAND	12
PLAYER_REVIVAL_POS	16
PLAYER_REVIVAL_POS_DATA	16
PLAYER_SCRIPTACTION_SYNC	916
PLAYER_SELECTUI_COMMAND	17
PLAYER_SELL_ITEM_COMMAND	13
PLAYER_SEND_CHAT_COMMAND	288
PLAYER_SEND_CHAT_DATA_COMMAND	288
PLAYER_SEND_CHAT_DATA_SYNC	316
PLAYER_SEND_CHAT_SYNC	316
PLAYER_SET_PK	2
PLAYER_SKILL_LEVEL_SYNC	15
PLAYER_SYNC	88
PLAYER_TASKVALUE_SYNC	9
PLAYER_THROW_AWAY_ITEM_COMMAND	1
POINT	8
POS	2
PROPINFO	12
PROPINFO_TOOL	12
Pack	16
ParserS	8
PlayerChatCost	16
PlayerItem	20
Proto	72
ProtocolMsg<95>	1
ProtocolPermit	8
QUERY_TASK_RESULT	48
R2S_GET_TAGS_RESPOND	68
R2S_QUERY_STAT_ID_RESPOND	70
RECT	16
RELAY_ASKWAY_DATA	20
RELAY_CONNECT_READY	3
RELAY_DATA	20
RELAY_DYNMAP_CREAT_INFO	7
RELAY_DYNMAP_DELETE_RESULT	7
RELAY_LADDERDATA	467
RELAY_PING	10
RELAY_QUERY_MAP	6
ROLENAME_CHANGE	98
ROLENAME_CHANGE_RESULT	99
Ref	16
Regexp	12
Resource<TChatClient>	1
Resource<short unsigned int>	1
S2C_GET_TAGS_RESPOND	35
S2C_TEAM_ADD_MEMBER	41
S2C_TEAM_APPLY_ADD	8
S2C_TEAM_APPLY_INFO_FALSE	5
S2C_TEAM_AUTO_CHANGE_CAPTAIN	12
S2C_TEAM_CHANGE_CAPTAIN	12
S2C_TEAM_CREATE_TEAM_FALSE	5
S2C_TEAM_CREATE_TEAM_SUCCESS	9
S2C_TEAM_INFO	40
S2C_TEAM_INVITE_ADD	40
S2C_TEAM_LEAVE	8
S2C_TEAM_OPEN_CLOSE	5
S2C_TEAM_SELF_INFO	309
S2C_TEAM_TEAMMATE_LEVEL	9
S2C_TONG_CHECK_APPLYER_STATE	79
S2R_ADD_TAG_REQUEST	98
S2R_DEL_TAG_REQUEST	38
S2R_GET_TAGS_REQUEST	66
S2R_QUERY_STAT_ID_REQUEST	66
S2R_SET_FRIEND_PUBLISH_FLAG	35
S2R_SET_STAT_DATA_REQUEST	74
S2R_UPDATE_STAT_DATA_REQUEST	6
SALE_BOX_SYNC	13
SALE_ITEMBUSSINESS	53
SALE_STORES_CHANGE_SHOP	5
SALE_STORES_SHOP	48
SALE_STORES_SYNC	577
SAppendSkill	8
SCRIPT_INFO	4
SECNODE	28
SEXPORT_NPC_DATA	108
SFactionAttirbute	204
SHOW_MSG_SYNC	9
SIMPLE_INFO_8	9
SKILL_CHANGEAURASKILL_COMMAND	5
SKILL_SEND_ALL_SYNC	483
SNPC_CMD_DATA	24
SPECTATOR_MSG	4
SPECTATOR_MSG_MAXATTR	36
SSkillTableData	272
SStateShowInfo	8
STALL_ADV_SYNC	13
STALL_BUYINFO	28
STALL_ITEMINFO_SYNC	104
STALL_REQUEST	8
STALL_RETVALUE	8
STALL_TAXRATE_SYNC	12
STALL_TRADE_SUCCESS	68
STATE_EFFECT_SYNC	340
STONG_ACCEPT_INSTATE_COMMAND	79
STONG_ACCEPT_MASTER_COMMAND	45
STONG_ADD_MEMBER_COMMAND	148
STONG_ADD_TAX_COMMAND	38
STONG_APPLY_DISPENSE_COMMAND	59
STONG_APPLY_LEAVE_UNION_COMMAND	111
STONG_APPLY_UNION_INFO_COMMAND	15
STONG_BE_INSTATED_SYNC	72
STONG_BE_KICKED_SYNC	40
STONG_BILLBOARD_COMMAND	6
STONG_BILLBOARD_SYNC	389
STONG_CHANGE_AS_SYNC	79
STONG_CHANGE_EXP_COMMAND	47
STONG_CHANGE_EXP_SYNC	56
STONG_CHANGE_JOB_CALL_COMMAND	47
STONG_CHANGE_JOB_CALL_SYNC	48
STONG_CHANGE_MASTER_COMMAND	44
STONG_CHANGE_MASTER_FAIL_SYNC	43
STONG_CHANGE_MASTER_SYNC	38
STONG_CHANGE_MONEY_SYNC	56
STONG_CHANGE_WAR_STATE_SYNC	14
STONG_CHECK_GET_MASTER_POWER_SYNC	44
STONG_CHECK_INSTATE_POWER_SYNC	78
STONG_CREATE_COMMAND	85
STONG_CREATE_FAIL_SYNC	11
STONG_CREATE_UNION_COMMAND	46
STONG_DISMISS_SYNC	42
STONG_DISPENSE_ERROR_SYNC	35
STONG_DISPENSE_SYNC	55
STONG_GM_ADD_TIME_COMMAND	70
STONG_GM_DISMISS_COMMAND	34
STONG_GM_SET_LEVEL_COMMAND	39
STONG_GM_SET_MASTER_COMMAND	66
STONG_HEADER_WITH_PARAM	6
STONG_INSTATE_COMMAND	76
STONG_INSTATE_SYNC	79
STONG_KICK_SYNC	45
STONG_LEAVE_COMMAND	44
STONG_LEAVE_SYNC	39
STONG_LEVEL_BILLBOARD_COMMAND	6
STONG_LEVEL_BILLBOARD_SYNC	429
STONG_LOGIN_DATA_SYNC	71
STONG_ROUTE_PACKAGE	6
STONG_SYSTEM_CHANGE_MONEY_COMMAND	39
STONG_SYSTEM_MOVE_EXP_COMMAND	70
STONG_UNION_ADD_MEMBER_COMMAND	18
STONG_UNION_INFO_SYNC	385
STORE_MONEY_COMMAND	14
SViewItemInfo	64
SWorldRegionTaxData	44
SYNC_WEATHER	2
SYSTEMTIME	16
SameLeagueTypeList	48
SemInfo	8
ServerImage	28
StallViewItemInfo	92
TABOFFSET	8
TASK_ORDER_DATA	65
TASK_PROP	4
TBATTLEDATA_MSG	7
TBonus	8
TBonusRule	96
TBossInfo	8
TBossProp	16
TCharsetBlk	4
TCharsetProp	3
TCharsetTbl	259
TChatChannelInf	2
TChatClient	4
TChatClientInf	4
TChatRoomMemberInf	40
TCheckNewItemAttrib	24
TCompoundParams	20
TCompoundResult	4
TCustomLadder	464
TCustomStructHeader	16
TDBItemDataEx	108
TDBItemDataStd	84
TDBPartnerSkillData	9
TDBSkillData	8
TDBStateData	33
TDBTaskData	8
TData	5
TDbDataBlock	808
TDice	2
TDiceProtocalData	20
TDiceSet	16
TDistribute	72
TDistributeInfo	224
TEXTCMD	4
TEnchaser	1248
TFactory_Func	8
TFeatureInfo	19
TFightPartnerData	17
TFightPartnerData_BaseInfo	112
TFightPartnerData_Skill_Header	21
TFightPartnerData_Task_Header	2
TGS2B_ReadyState	2
TGameMaster_Command	24
THROW_AWAY_ALL_MEDICINE_COMMAND	4
THostExchange	38
TINT	4
TInfo	12
TLadderInfo	268
TLeagueCallBackScript	40
TLeagueDoScript	4
TLeagueDoScriptCB	150
TLeagueMemberData	93
TLeagueMemberDataCB	139
TLeagueMemberTaskCB	153
TLeagueProtocolInfo	8
TLeagueRoleInfo	41
TLeagueTaskCB	105
TLockAccount	37
TM	64
TMINIMAP_OBJ_SYNC	15
TMapBossInfo	80
TModuleCfgItem	11
TModuleCfgItemBase	3
TModuleCfg_SyncToClient	6
TModuleCfg_SyncToGS	7
TMsgInfo	212
TNpcMagicAttrib	8
TONGDATA_1	49
TONGDATA_12	60
TONGDATA_4	52
TONGDATA_8	56
TONGDATA_ATOMDATA_HEAD	48
TONGDATA_BUFFER	52
TONGNAME_CHANGE	102
TONGNAME_CHANGE_RESULT	103
TONGNAME_QUERY	70
TONGNAME_QUERY_RESULT	71
TONG_ACCEPT_MEMBER_COMMAND	13
TONG_APPLY_ADD_COMMAND	8
TONG_APPLY_ADD_SYNC	40
TONG_APPLY_ADD_UNION_COMMAND	8
TONG_APPLY_CHANGE_JOB_CALL_COMMAND	49
TONG_APPLY_CHANGE_MASTER_COMMAND	42
TONG_APPLY_CREATE_COMMAND	14
TONG_APPLY_INSTATE_COMMAND	42
TONG_APPLY_LEAVE_COMMAND	42
TONG_APPLY_UNION_INFO_COMMAND	12
TONG_Add_SYNC	109
TONG_BASE	901
TONG_BASE_REQ	101
TONG_BILLBOARD_COMMAND	4
TONG_BILLBOARD_SYNC	385
TONG_CHANGE_JOB_CALL_SYNC	45
TONG_CHANGE_MASTER_FAIL_SYNC	41
TONG_CHANGE_MONEY_COMMAND	9
TONG_CHANGE_MONEY_RESULT_SYNC	54
TONG_CLAIMWAR_SYNC	8
TONG_CONVENE_COMMAND	16
TONG_CREATE_FAIL_SYNC	5
TONG_CREATE_SYNC	51
TONG_CREATE_UNION_COMMAND	40
TONG_DISPENSE_COMMAND	17
TONG_DISPENSE_ERROR_SYNC	29
TONG_FIGURE_COUNT	21
TONG_FIGURE_MEMBER	230
TONG_ID_NAME	36
TONG_INSTATE_SYNC	76
TONG_KICK_SYNC	43
TONG_LEAVE_UNION_COMMAND	37
TONG_LEVEL_BILLBOARD_COMMAND	4
TONG_LEVEL_BILLBOARD_SYNC	425
TONG_LIST_PAGE_DATA_REQ	3
TONG_MEMBER_BASE	905
TONG_MEMBER_BASE_REQ	105
TONG_MEMBER_ID_NAME	36
TONG_MEMBER_INFO	68
TONG_MEMBER_PAGE_DATA_REQ	8
TONG_MEMBER_RIGHT	9
TONG_MEMBER_TASK	6
TONG_MSG	244
TONG_NPC_CALL_SYNC	72
TONG_RECORD	68
TONG_RECORDLIST_INFO	6806
TONG_REFUSE_ADD_UNION_SYNC	36
TONG_REPLY_ADD_UNION_COMMAND	13
TONG_SELF_INFO_SYNC	115
TONG_SETTING	2812
TONG_TASK	6
TONG_TRANSMIT_APPLY_ADD_UNION_SYNC	76
TONG_UNION_BASE	926
TONG_UNION_BASE_REQ	101
TONG_UNION_ID_NAME	37
TONG_UNION_INFO_SYNC	381
TONG_UNION_PAGE_DATA_REQ	3
TONG_WEEKGOAL_INFO	64
TONG_WORKSHOP_INFO	23
TObject	12
TOneLeagueData	75
TOneLeagueDataCB	121
TParams	68
TPartnerDataBase	5
TPlayerBonus	8
TPlayerEventInfo	32
TPlayerPartnerData	20
TPlayerTitle	96
TProcessData	11
TPromotionSaleDate	24
TQuestion	48
TRADE_APPLY_OPEN_COMMAND	259
TRADE_APPLY_START_COMMAND	9
TRADE_APPLY_START_SYNC	9
TRADE_CHANGE_STATE_SYNC	6
TRADE_DECISION_COMMAND	2
TRADE_DECISION_SYNC	2
TRADE_MONEY_SYNC	5
TRADE_MOVE_MONEY_COMMAND	5
TRADE_REPLY_START_COMMAND	10
TRADE_STATE_SYNC	5
TRYOUT_TIMEOUT_REQ	38
TRYOUT_TIMEOUT_RES	38
TRemoveLeagueCB	98
TRemoveLeagueMemberCB	147
TRingInfo	16
TRoleBaseInfo	369
TRoleData	408
TRoleInstance	41
TRoleList	46
TRoleNameChange	97
TRoleNameChangeResult	98
TRoleNameQuery	101
TRoleNameQueryResult	102
TSaveRoleResult	41
TSelectDiceItem	13
TSendBuf	6
TSetHighLightPos	87
TSimpleSyncData	12
TSkillAdditionInfo	4
TSkillInfo	284
TSkillState	20
TString	24
TSyncFiles_ClientApplySync	9
TSyncFiles_SyncToClient	10
TSyncFiles_ToClient_Header	7
TSyncFiles_ToGS_Header	7
TTabColNode	20
TTabLineNode	20
TTableList	16
TTaskID<unsigned int>	8
TTaskTimer	20
TTellFlagPos	79
TTicket	8
TTitleInfo	20
TTitleSkill	8
TTitleTime	12
TTm	36
TTongBaseInfo	8
TTongBigPackData	5
TTongCallbackScript	40
TTongData_Atom_1	1
TTongData_Atom_12	12
TTongData_Atom_4	4
TTongData_Atom_8	8
TTongData_Atom_Buffer	4
TTongMember_Buffer	16
TUnlockAccount	33
TargetCircle	48
TaskKey	16
TaskSetting	8
TmpList	4
Token	12
TongDataT_Byte	1
TongDataT_DWord	4
TongDataT_INT2	8
TongDataT_INT64	8
TongDataT_Int	4
TongDataT_Record	68
TongDataT_String	32
TongDataT_Task	6
TongData_Member	8
TongData_MemberAdd	42
TongData_MemberDWord	12
TongData_MemberData	13
TongData_MemberINT64	16
TongData_MemberInt	12
TongData_MemberKey	9
TongData_MemberString	40
TongData_MemberTask	14
TongData_Tong	4
TongData_Tong8	12
TongData_TongAdd	75
TongData_TongBuffer	8
TongData_TongByte	5
TongData_TongDWord	8
TongData_TongINT64	12
TongData_TongInt2	12
TongData_TongOnlineList	8
TongData_TongRecord	72
TongData_TongString	36
TongData_TongTask	10
TongData_Union	4
TongData_UnionDWord	8
TongData_UnionTask	10
TongData_Workshop	8
TongData_WorkshopDWord	12
TongData_WorkshopTask	14
TongExHeaderBase	4
TongExProtocolGC	5
TongExProtocolRG	6
TongPort_TongAnnouncement	1033
TongPort_TongRecordListInfo	6811
TongPort_TongWeekGoalInfo	69
TongProt_FigureCount	26
TongProt_FigureMember	235
TongProt_MemberBase	910
TongProt_MemberInfo	73
TongProt_MemberPageData	245
TongProt_MemberRight	6
TongProt_MemberTask	11
TongProt_SelfMemberMixData	9
TongProt_TongBase	906
TongProt_TongInfo	244
TongProt_TongOneData	11
TongProt_TongPageData	365
TongProt_UnionBase	931
TongProt_UnionPageData	465
TongProt_UnionTongList	120
TongProt_WorkshopInfo	28
TopItemInfo	48
TreeNode<KItemDropRateNode>	212
VIEW_EQUIP_COMMAND	5
VIEW_EQUIP_SYNC	1146
VIEW_OTHER_DETAIL_INFO	140
Value	8
WORKSHOP_SETTING	1364
WORLD_SYNC	34
WeaponData	8
XPackElemFileCache	32
XPackFile	36
XPackFileFragmentElemHeader	8
XPackFileFragmentInfo	12
XPackFileHeader	32
XPackIndexInfo	16
XPackList	392
XPackSprFrameInfo	8
ZIO	4116
_Alloc_hider	4
_AptitudeModeSetting	240
_AttribRangeSetting	96
_CharacterSetting	76
_CheckItemDupedMap	24
_ClientCacheData	8
_DataPair	8
_DupedInsert	8
_EmotionSetting	20
_FILETIME	8
_FeatureSetting	20
_GUID	16
_IO_FILE	148
_IO_marker	12
_KColorTable	11
_KCtrlTable	12
_KFileLib<KIniFile>	24
_KFileLib<KTabFile>	24
_KFileLib<KTabFileCtrl>	24
_KGLOG_PARAM	8200
_KMagicDescPrivate	1
_KMissionPlayerArray<TMissionPlayerInfo,1200ul>	28836
_KPartnerArray	144
_KSenderImpl	8
_KTabFileListLoader	12
_List_impl	8
_MATCHPROC	8
_MapParam	12
_OneFigure	4
_OneWorkshop	15
_PartnerBagSetting	16
_PlayerFind	8
_Rb_tree_impl<KPlatinaDurability::less_key,false>	24
_Rb_tree_impl<KPlayerSet::AccountCmp,false>	24
_Rb_tree_impl<KRegion::less_pos,false>	24
_Rb_tree_impl<KSkillManager::less_platina_magicrate_key,false>	24
_Rb_tree_impl<KTongWar::less_tongwar,false>	24
_Rb_tree_impl<account_less,false>	24
_Rb_tree_impl<less_pcstr,false>	24
_Rb_tree_impl<std::less<DupedDef::tagDUPEDITEM_KEY>,false>	24
_Rb_tree_impl<std::less<ItemOption>,false>	24
_Rb_tree_impl<std::less<KItemID>,false>	24
_Rb_tree_impl<std::less<KObserver*>,false>	24
_Rb_tree_impl<std::less<KPlayerEventMan::tagKILLNPCEVENT_KEY>,false>	24
_Rb_tree_impl<std::less<TChatClient>,false>	24
_Rb_tree_impl<std::less<TTaskID<unsigned int> >,false>	24
_Rb_tree_impl<std::less<char>,false>	24
_Rb_tree_impl<std::less<const KTongMember*>,false>	24
_Rb_tree_impl<std::less<int>,false>	24
_Rb_tree_impl<std::less<long unsigned int>,false>	24
_Rb_tree_impl<std::less<short unsigned int>,false>	24
_Rb_tree_impl<std::less<std::basic_string<char, std::char_traits<char>, std::allocator<char> > >,false>	24
_Rb_tree_impl<std::less<tagPlayerDiceData>,false>	24
_Rb_tree_impl<std::less<unsigned int>,false>	24
_ResistSetting	40
_STEAM_PROTOCOL_HEAD	4
_SYSTEMTIME	16
_SaveDataHeader	8
_SaveHeader	4
_SaveNumberData	6
_TABLE	8
_TPair	8
_TPlayerTitleData	16
_TaskValue	6
_VALIDCHAR_RANGE	2
_Vector_impl	12
__FILE	148
__KPartnerArray<KPlayerPartner,3u>	144
__KSkillEnhance	16
__false_type	1
__jmp_buf_tag	156
__pthread_internal_slist	4
__pthread_mutex_s	24
__pthread_slist_t	4
__sigset_t	128
__true_type	1
_tagKDataPair	8
_tagKSyncHeader	17
_tagSyncFileHead	24
_tagTABLE	8
account_less	1
buffer	12
config	12
config_s	12
ct_data	4
ct_data_s	4
deflate_state	5816
dirent	268
expdesc	12
fpos_t	12
ifmap	16
ifreq	32
inflate_blocks_state	4
inflate_blocks_statef	4
inflate_codes_state	4
inflate_codes_statef	4
inflate_huft	8
inflate_huft_s	8
internal_state	4
lconv	56
less_key	1
less_pcstr	1
less_platina_magicrate_key	1
less_pos	1
less_tongwar	1
luaL_Buffer	8204
luaL_reg	8
lua_Debug	96
lua_State	132
lua_TObject	12
lua_longjmp	164
mbstate_t	8
pattern	4
regErr	8
regexp	116
rlimit	8
sockaddr	16
stall_itemprice	8
stall_stalllevelnotallow	8
stall_stallmarkprice	20
stallprotocol_header	4
stat	88
static_tree_desc	4
static_tree_desc_s	4
string	4
stringtable	12
tagAccountUserInfo	52
tagAllCitySummary	4
tagArenaResult	37
tagArenaRound	5
tagBOX_INFO_SYNC	5
tagBOX_OPERATE_COMMAND	14
tagBULLETIN_CONTENT_DATA	807
tagBULLETIN_CONTENT_QUERY	17
tagBULLETIN_SUMMARY_DATA	965
tagBotClientCheck	13
tagBotClientCheckResult	9
tagCHAT_ADD_FRIEND_COMMAND	5
tagCHAT_ADD_FRIEND_FAIL_SYNC	5
tagCHAT_ADD_FRIEND_SYNC	41
tagCHAT_APPLY_ADD_FRIEND_COMMAND	263
tagCHAT_APPLY_ADD_FRIEND_SYNC	293
tagCHAT_APPLY_SEND_ONE_FRIEND_NAME_COMMAND	5
tagCHAT_CHANNELCHAT_HEAD	1
tagCHAT_CHANNELCHAT_SYNC	44
tagCHAT_DELETE_FRIEND_COMMAND	5
tagCHAT_DELETE_FRIEND_SYNC	5
tagCHAT_EVERYONE	5
tagCHAT_FRIEND_OFFLINE_SYNC	5
tagCHAT_FRIEND_ONLINE_SYNC	9
tagCHAT_GROUPMAN	9
tagCHAT_LOCAL_CHANNEL	13
tagCHAT_LOGIN_FRIEND_NAME_SYNC	43
tagCHAT_LOGIN_FRIEND_NONAME_SYNC	9
tagCHAT_ONE_FRIEND_DATA_SYNC	41
tagCHAT_REDELETE_FRIEND_COMMAND	5
tagCHAT_REFUSE_FRIEND_COMMAND	5
tagCHAT_REFUSE_FRIEND_SYNC	35
tagCHAT_RELEGATE	22
tagCHAT_SCREENSINGLE_ERROR_SYNC	36
tagCHAT_SET_CHANNEL_COMMAND	5
tagCHAT_SOMEONECHAT_CMD	40
tagCHAT_SPECMAN	13
tagCHAT_TEST_MSG	11
tagCLEAR_TONG_CLAIMWAR_SYNC	4
tagCURPLAYER_NORMAL_SYNC	14
tagCURPLAYER_SYNC	68
tagChangeExtPoint	49
tagCitySummary	114
tagDayTime	25
tagDynamicUpdateMapID	9
tagEnterGame	33
tagEnterGame2	79
tagExtPointData	92
tagExtPointInfo	32
tagExtendProtoHeader	3
tagFOUNDRY_CLIENTSEND	204
tagFOUNDRY_RESULT	7
tagGIVE_SOMETHING	30
tagGMCmdHeader	34
tagGMExecuteCommand	38
tagGMGetPlayerAtGWSync	78
tagGPI_VIEW_ROLLING_ITEM	71
tagGameSvrInfo	13
tagGateWayKickOut	37
tagGatewayBroadCast	269
tagGuidableInfo	109
tagITEM_AUTO_MOVE_SYNC	7
tagITEM_COUNT_SYNC	9
tagITEM_DURABILITY_CHANGE	13
tagITEM_MASK	16
tagITEM_REMOVE_SYNC	5
tagITEM_REPAIR	9
tagItemSync	80
tagJoinObj	8
tagKFileInfo	520
tagKIB_BuyItemProtocol	61
tagKIB_BuyItemResultProtocol	65
tagKIB_ItemBuyInfo	60
tagKIB_ItemBuyResult	64
tagKIB_ItemUseInfo	52
tagKIB_ItemUseResult	56
tagKIB_UseItemProtocol	53
tagKIB_UseItemResultProtocol	57
tagKILLNPCEVENT_DATA	48
tagKILLNPCEVENT_KEY	20
tagKILLNPCEVENT_VALUE	28
tagKMemFileData	8
tagKPrivateData	64
tagKPrivateSortData	12
tagKeyNode	16
tagLADDER_DATA	466
tagLADDER_LIST	7
tagLADDER_QUERY	4
tagLeaveGame	38
tagLeaveGame2	67
tagLogicLogin	17
tagMINIMAP_OBJ_SYNC	15
tagMapArrangeNotify	12
tagMapIDAssign	14
tagNOTIFY_CLIENT	9
tagNPC_CHGCAMP_SYNC	6
tagNPC_CHGCURCAMP_SYNC	6
tagNPC_DEATH_SYNC	5
tagNPC_GOLD_CHANGE_SYNC	7
tagNPC_JUMP_COMMAND	13
tagNPC_JUMP_SYNC	13
tagNPC_NET_COMMAND	22
tagNPC_NORMAL_SYNC	18
tagNPC_PET_SYNC	261
tagNPC_PLAYER_TYPE_NORMAL_SYNC	13
tagNPC_POS_SYNC	17
tagNPC_RANKID_SYNC	6
tagNPC_REMOVE_SYNC	5
tagNPC_REQUEST_COMMAND	5
tagNPC_REVIVE_SYNC	6
tagNPC_RUN_SYNC	13
tagNPC_SET_MENU_STATE_SYNC	264
tagNPC_SIT_COMMAND	2
tagNPC_SKILL_SYNC	25
tagNPC_SLEEP_SYNC	6
tagNPC_SYNC	97
tagNPC_SYNC_STATEINFO	11
tagNPC_WALK_SYNC	13
tagNotifyPlayerExchange	25
tagNpcSkill	48
tagOBJ_ADD_SYNC	67
tagOBJ_MOUSE_CLICK_SYNC	9
tagOBJ_SYNC_DIR	6
tagOBJ_SYNC_REMOVE	6
tagOBJ_SYNC_STATE	6
tagOBJ_SYNC_TRAP_ACT	13
tagONE_ATTR_SYNC	9
tagOPEN_STORE_BOX_SYNC	3
tagOfflineKickoutAsk	41
tagOfflineKickoutRes	42
tagOfflineRequestAsk	73
tagOfflineRequestReq	65
tagOfflineRequestRes	71
tagOfflineTimeoutRes	69
tagPING_CLIENTREPLY_COMMAND	9
tagPING_COMMAND	5
tagPK_APPLY_ENMITY_COMMAND	5
tagPK_APPLY_NORMAL_FLAG_COMMAND	2
tagPK_ENMITY_STATE_SYNC	40
tagPK_EXERCISE_STATE_SYNC	40
tagPK_NORMAL_FLAG_SYNC	2
tagPK_VALUE_SYNC	5
tagPLAYER_ADD_BASE_ATTRIBUTE_COMMAND	14
tagPLAYER_ADD_SKILL_POINT_COMMAND	17
tagPLAYER_ALL_TASKVALUE_SYNC	641
tagPLAYER_ATTRIBUTE_SYNC	14
tagPLAYER_BUY_ITEM_COMMAND	12
tagPLAYER_DIALOG_NPC_COMMAND	9
tagPLAYER_DISABLEDFLAG_SYNC	5
tagPLAYER_DIVIDE_ITEM_COMMAND	10
tagPLAYER_EAT_ITEM_COMMAND	16
tagPLAYER_EXP_SYNC2	9
tagPLAYER_FACTION_DATA	8
tagPLAYER_FACTION_SKILL_LEVEL	3
tagPLAYER_GIVEITEMSEND	11
tagPLAYER_LEAD_EXP_SYNC	5
tagPLAYER_LEAVE_FACTION	1
tagPLAYER_LEVEL_UP_SYNC	130
tagPLAYER_MONEY_SYNC	13
tagPLAYER_MOVE_ITEM_COMMAND	7
tagPLAYER_MOVE_ITEM_SYNC	7
tagPLAYER_PICKUP_ITEM_COMMAND	12
