struct	alias	base	kind	size	offset	field	type	fieldsize
NPC_SKILL_COMMAND		tagProtocolHeader	struct	17	13	dwCheckValue	DWORD	4
NPC_WALK_COMMAND		tagProtocolHeader	struct	13	0	(base)	tagProtocolHeader	1
NPC_WALK_COMMAND		tagProtocolHeader	struct	13	1	nMpsX	int	4
NPC_WALK_COMMAND		tagProtocolHeader	struct	13	5	nMpsY	int	4
NPC_WALK_COMMAND		tagProtocolHeader	struct	13	9	dwCheckValue	DWORD	4
OFFLINELIVE_CLAIM		EXTEND_HEADER	struct	34	0	(base)	EXTEND_HEADER	2
OFFLINELIVE_CLAIM		EXTEND_HEADER	struct	34	2	szRole	char[32]	32
PLAYERCOMM_NOTIFYCHANNELID		EXTEND_HEADER	struct	40	0	(base)	EXTEND_HEADER	2
PLAYERCOMM_NOTIFYCHANNELID		EXTEND_HEADER	struct	40	2	channel	char[32]	32
PLAYERCOMM_NOTIFYCHANNELID		EXTEND_HEADER	struct	40	34	channelid	DWORD	4
PLAYERCOMM_NOTIFYCHANNELID		EXTEND_HEADER	struct	40	38	cost	BYTE	1
PLAYERCOMM_NOTIFYCHANNELID		EXTEND_HEADER	struct	40	39	channelType	BYTE	1
PLAYER_NORMAL_SYNC		tagProtocolHeader	struct	24	0	(base)	tagProtocolHeader	1
PLAYER_NORMAL_SYNC		tagProtocolHeader	struct	24	1	ID	DWORD	4
PLAYER_NORMAL_SYNC		tagProtocolHeader	struct	24	5	AttackSpeed	BYTE	1
PLAYER_NORMAL_SYNC		tagProtocolHeader	struct	24	6	RunSpeed	BYTE	1
PLAYER_NORMAL_SYNC		tagProtocolHeader	struct	24	7	m_btChangeFeatureCount	BYTE	1
PLAYER_NORMAL_SYNC		tagProtocolHeader	struct	24	8	HelmType	BYTE	1
PLAYER_NORMAL_SYNC		tagProtocolHeader	struct	24	9	HorseType	BYTE	1
PLAYER_NORMAL_SYNC		tagProtocolHeader	struct	24	10	WalkSpeed	BYTE	1
PLAYER_NORMAL_SYNC		tagProtocolHeader	struct	24	11	CastSpeed	BYTE	1
PLAYER_NORMAL_SYNC		tagProtocolHeader	struct	24	12	ArmorType	BYTE	1
PLAYER_NORMAL_SYNC		tagProtocolHeader	struct	24	13	WeaponType	BYTE	1
PLAYER_NORMAL_SYNC		tagProtocolHeader	struct	24	14	byMantleType	BYTE	1
PLAYER_NORMAL_SYNC		tagProtocolHeader	struct	24	15	m_btSomeFlag1	BYTE	1
PLAYER_NORMAL_SYNC		tagProtocolHeader	struct	24	16	m_btSomeFlag	BYTE	1
PLAYER_NORMAL_SYNC		tagProtocolHeader	struct	24	17	m_wTitleID	WORD	2
PLAYER_NORMAL_SYNC		tagProtocolHeader	struct	24	19	m_dwTongNameID	DWORD	4
PLAYER_NORMAL_SYNC		tagProtocolHeader	struct	24	23	nFortuneRank	BYTE	1
PLAYER_SELECTUI_COMMAND	PLAYER_SELECTUI_COMMAND	tagProtocolHeader	struct	17	0	(base)	tagProtocolHeader	1
PLAYER_SELECTUI_COMMAND	PLAYER_SELECTUI_COMMAND	tagProtocolHeader	struct	17	1	nSelectIndex	int	4
PLAYER_SELECTUI_COMMAND	PLAYER_SELECTUI_COMMAND	tagProtocolHeader	struct	17	5	nSelectType	int	4
PLAYER_SELECTUI_COMMAND	PLAYER_SELECTUI_COMMAND	tagProtocolHeader	struct	17	9	nParam1	int	4
PLAYER_SELECTUI_COMMAND	PLAYER_SELECTUI_COMMAND	tagProtocolHeader	struct	17	13	nParam2	int	4
PLAYER_SEND_CHAT_DATA_COMMAND	PLAYER_SEND_CHAT_COMMAND	tagProtocolHeader	struct	288	0	(base)	tagProtocolHeader	1
PLAYER_SEND_CHAT_DATA_COMMAND	PLAYER_SEND_CHAT_COMMAND	tagProtocolHeader	struct	288	1	m_wLength	WORD	2
PLAYER_SEND_CHAT_DATA_COMMAND	PLAYER_SEND_CHAT_COMMAND	tagProtocolHeader	struct	288	3	m_btCurChannel	BYTE	1
PLAYER_SEND_CHAT_DATA_COMMAND	PLAYER_SEND_CHAT_COMMAND	tagProtocolHeader	struct	288	4	m_btType	BYTE	1
PLAYER_SEND_CHAT_DATA_COMMAND	PLAYER_SEND_CHAT_COMMAND	tagProtocolHeader	struct	288	5	m_btChatPrefixLen	BYTE	1
PLAYER_SEND_CHAT_DATA_COMMAND	PLAYER_SEND_CHAT_COMMAND	tagProtocolHeader	struct	288	6	m_wSentenceLen	WORD	2
PLAYER_SEND_CHAT_DATA_COMMAND	PLAYER_SEND_CHAT_COMMAND	tagProtocolHeader	struct	288	8	m_dwTargetID	DWORD	4
PLAYER_SEND_CHAT_DATA_COMMAND	PLAYER_SEND_CHAT_COMMAND	tagProtocolHeader	struct	288	12	m_nTargetIdx	int	4
PLAYER_SEND_CHAT_DATA_COMMAND	PLAYER_SEND_CHAT_COMMAND	tagProtocolHeader	struct	288	16	m_szSentence	char[272]	272
PLAYER_SEND_CHAT_DATA_SYNC	PLAYER_SEND_CHAT_SYNC	tagProtocolHeader	struct	316	0	(base)	tagProtocolHeader	1
PLAYER_SEND_CHAT_DATA_SYNC	PLAYER_SEND_CHAT_SYNC	tagProtocolHeader	struct	316	1	m_wLength	WORD	2
PLAYER_SEND_CHAT_DATA_SYNC	PLAYER_SEND_CHAT_SYNC	tagProtocolHeader	struct	316	3	m_btCurChannel	BYTE	1
PLAYER_SEND_CHAT_DATA_SYNC	PLAYER_SEND_CHAT_SYNC	tagProtocolHeader	struct	316	4	m_btNameLen	BYTE	1
PLAYER_SEND_CHAT_DATA_SYNC	PLAYER_SEND_CHAT_SYNC	tagProtocolHeader	struct	316	5	m_btChatPrefixLen	BYTE	1
PLAYER_SEND_CHAT_DATA_SYNC	PLAYER_SEND_CHAT_SYNC	tagProtocolHeader	struct	316	6	m_wSentenceLen	WORD	2
PLAYER_SEND_CHAT_DATA_SYNC	PLAYER_SEND_CHAT_SYNC	tagProtocolHeader	struct	316	8	m_dwSourceID	DWORD	4
PLAYER_SEND_CHAT_DATA_SYNC	PLAYER_SEND_CHAT_SYNC	tagProtocolHeader	struct	316	12	m_szSentence	char[304]	304
R2S_GET_TAGS_RESPOND		EXTEND_HEADER	struct	68	0	(base)	EXTEND_HEADER	2
R2S_GET_TAGS_RESPOND		EXTEND_HEADER	struct	68	2	szSrcPlayer	char[32]	32
R2S_GET_TAGS_RESPOND		EXTEND_HEADER	struct	68	34	szTargetPlayer	char[32]	32
R2S_GET_TAGS_RESPOND		EXTEND_HEADER	struct	68	66	wDataSize	WORD	2
R2S_GET_TAGS_RESPOND		EXTEND_HEADER	struct	68	68	byData	BYTE[]	
R2S_QUERY_STAT_ID_RESPOND		EXTEND_HEADER	struct	70	0	(base)	EXTEND_HEADER	2
R2S_QUERY_STAT_ID_RESPOND		EXTEND_HEADER	struct	70	2	szName	char[64]	64
R2S_QUERY_STAT_ID_RESPOND		EXTEND_HEADER	struct	70	66	nID	int	4
RELAY_ASKWAY_DATA		EXTEND_HEADER	struct	20	0	(base)	EXTEND_HEADER	2
RELAY_ASKWAY_DATA		EXTEND_HEADER	struct	20	2	nFromIP	DWORD	4
RELAY_ASKWAY_DATA		EXTEND_HEADER	struct	20	6	nFromRelayID	DWORD	4
RELAY_ASKWAY_DATA		EXTEND_HEADER	struct	20	10	seekRelayCount	DWORD	4
RELAY_ASKWAY_DATA		EXTEND_HEADER	struct	20	14	seekMethod	WORD	2
RELAY_ASKWAY_DATA		EXTEND_HEADER	struct	20	16	wMethodDataLength	WORD	2
RELAY_ASKWAY_DATA		EXTEND_HEADER	struct	20	18	routeDateLength	WORD	2
RELAY_CONNECT_READY		EXTEND_HEADER	struct	3	0	(base)	EXTEND_HEADER	2
RELAY_CONNECT_READY		EXTEND_HEADER	struct	3	2	btReady	BYTE	1
RELAY_DATA		EXTEND_HEADER	struct	20	0	(base)	EXTEND_HEADER	2
RELAY_DATA		EXTEND_HEADER	struct	20	2	nToIP	DWORD	4
RELAY_DATA		EXTEND_HEADER	struct	20	6	nToRelayID	DWORD	4
RELAY_DATA		EXTEND_HEADER	struct	20	10	nFromIP	DWORD	4
RELAY_DATA		EXTEND_HEADER	struct	20	14	nFromRelayID	DWORD	4
RELAY_DATA		EXTEND_HEADER	struct	20	18	routeDateLength	WORD	2
RELAY_DYNMAP_CREAT_INFO		EXTEND_HEADER	struct	7	0	(base)	EXTEND_HEADER	2
RELAY_DYNMAP_CREAT_INFO		EXTEND_HEADER	struct	7	2	dwMapID	DWORD	4
RELAY_DYNMAP_CREAT_INFO		EXTEND_HEADER	struct	7	6	btResult	BYTE	1
RELAY_DYNMAP_DELETE_RESULT		EXTEND_HEADER	struct	7	0	(base)	EXTEND_HEADER	2
RELAY_DYNMAP_DELETE_RESULT		EXTEND_HEADER	struct	7	2	dwMapID	DWORD	4
RELAY_DYNMAP_DELETE_RESULT		EXTEND_HEADER	struct	7	6	btResult	BYTE	1
RELAY_LADDERDATA		EXTEND_HEADER	struct	467	0	(base)	EXTEND_HEADER	2
RELAY_LADDERDATA		EXTEND_HEADER	struct	467	2	dwLadderID	DWORD	4
RELAY_LADDERDATA		EXTEND_HEADER	struct	467	6	btRoleCount	BYTE	1
RELAY_LADDERDATA		EXTEND_HEADER	struct	467	7	StatData	TRoleList[10]	460
RELAY_PING		EXTEND_HEADER	struct	10	0	(base)	EXTEND_HEADER	2
RELAY_PING		EXTEND_HEADER	struct	10	2	dwSequence	DWORD	4
RELAY_PING		EXTEND_HEADER	struct	10	6	dwTimestamp	DWORD	4
RELAY_QUERY_MAP		EXTEND_HEADER	struct	6	0	(base)	EXTEND_HEADER	2
RELAY_QUERY_MAP		EXTEND_HEADER	struct	6	2	dwServerID	DWORD	4
ROLENAME_CHANGE		EXTEND_HEADER	struct	98	0	(base)	EXTEND_HEADER	2
ROLENAME_CHANGE		EXTEND_HEADER	struct	98	2	szAccount	char[32]	32
ROLENAME_CHANGE		EXTEND_HEADER	struct	98	34	szRoleName	char[32]	32
ROLENAME_CHANGE		EXTEND_HEADER	struct	98	66	szOperName	char[32]	32
S2C_GET_TAGS_RESPOND		tagProtocolHeader	struct	35	0	(base)	tagProtocolHeader	1
S2C_GET_TAGS_RESPOND		tagProtocolHeader	struct	35	1	szTargetPlayer	char[32]	32
S2C_GET_TAGS_RESPOND		tagProtocolHeader	struct	35	33	wDataLen	WORD	2
S2C_GET_TAGS_RESPOND		tagProtocolHeader	struct	35	35	byData	BYTE[]	
S2C_TONG_CHECK_APPLYER_STATE		EXTEND_HEADER	struct	79	0	(base)	EXTEND_HEADER	2
S2C_TONG_CHECK_APPLYER_STATE		EXTEND_HEADER	struct	79	2	dwTongID	DWORD	4
S2C_TONG_CHECK_APPLYER_STATE		EXTEND_HEADER	struct	79	6	byCurPageIndex	BYTE	1
S2C_TONG_CHECK_APPLYER_STATE		EXTEND_HEADER	struct	79	7	nOperatorIndex	int	4
S2C_TONG_CHECK_APPLYER_STATE		EXTEND_HEADER	struct	79	11	szOperatorName	char[32]	32
S2C_TONG_CHECK_APPLYER_STATE		EXTEND_HEADER	struct	79	43	szApplyerName	char[32]	32
S2C_TONG_CHECK_APPLYER_STATE		EXTEND_HEADER	struct	79	75	dwGSID	DWORD	4
S2R_ADD_TAG_REQUEST		EXTEND_HEADER	struct	98	0	(base)	EXTEND_HEADER	2
S2R_ADD_TAG_REQUEST		EXTEND_HEADER	struct	98	2	szSrcPlayer	char[32]	32
S2R_ADD_TAG_REQUEST		EXTEND_HEADER	struct	98	34	szTargetPlayer	char[32]	32
S2R_ADD_TAG_REQUEST		EXTEND_HEADER	struct	98	66	szTagTxt	char[32]	32
S2R_DEL_TAG_REQUEST		EXTEND_HEADER	struct	38	0	(base)	EXTEND_HEADER	2
S2R_DEL_TAG_REQUEST		EXTEND_HEADER	struct	38	2	szPlayerName	char[32]	32
S2R_DEL_TAG_REQUEST		EXTEND_HEADER	struct	38	34	nTagTime	time_t	4
S2R_GET_TAGS_REQUEST		EXTEND_HEADER	struct	66	0	(base)	EXTEND_HEADER	2
S2R_GET_TAGS_REQUEST		EXTEND_HEADER	struct	66	2	szSrcPlayer	char[32]	32
S2R_GET_TAGS_REQUEST		EXTEND_HEADER	struct	66	34	szTargetPlayer	char[32]	32
S2R_QUERY_STAT_ID_REQUEST		EXTEND_HEADER	struct	66	0	(base)	EXTEND_HEADER	2
S2R_QUERY_STAT_ID_REQUEST		EXTEND_HEADER	struct	66	2	szName	char[64]	64
S2R_SET_FRIEND_PUBLISH_FLAG		EXTEND_HEADER	struct	35	0	(base)	EXTEND_HEADER	2
S2R_SET_FRIEND_PUBLISH_FLAG		EXTEND_HEADER	struct	35	2	szPlayerName	char[32]	32
S2R_SET_FRIEND_PUBLISH_FLAG		EXTEND_HEADER	struct	35	34	byFlag	BYTE	1
S2R_SET_STAT_DATA_REQUEST		EXTEND_HEADER	struct	74	0	(base)	EXTEND_HEADER	2
S2R_SET_STAT_DATA_REQUEST		EXTEND_HEADER	struct	74	2	szName	char[64]	64
S2R_SET_STAT_DATA_REQUEST		EXTEND_HEADER	struct	74	66	nValue	int64_t	8
S2R_UPDATE_STAT_DATA_REQUEST		EXTEND_HEADER	struct	6	0	(base)	EXTEND_HEADER	2
S2R_UPDATE_STAT_DATA_REQUEST		EXTEND_HEADER	struct	6	2	nCount	int	4
S2R_UPDATE_STAT_DATA_REQUEST		EXTEND_HEADER	struct	6	6	Values	KSTAT_DATA_MODIFY[]	
SIMPLE_INFO_8		tagProtocolHeader	struct	9	0	(base)	tagProtocolHeader	1
SIMPLE_INFO_8		tagProtocolHeader	struct	9	1		SIMPLE_INFO_8_u	8
SPECTATOR_MSG		tagProtocolHeader	struct	4	0	(base)	tagProtocolHeader	1
SPECTATOR_MSG		tagProtocolHeader	struct	4	1	wLen	WORD	2
SPECTATOR_MSG		tagProtocolHeader	struct	4	3	nCmd	BYTE	1
STONG_ACCEPT_INSTATE_COMMAND		EXTEND_HEADER	struct	79	0	(base)	EXTEND_HEADER	2
STONG_ACCEPT_INSTATE_COMMAND		EXTEND_HEADER	struct	79	2	m_dwParam	DWORD	4
STONG_ACCEPT_INSTATE_COMMAND		EXTEND_HEADER	struct	79	6	m_dwTongNameID	DWORD	4
STONG_ACCEPT_INSTATE_COMMAND		EXTEND_HEADER	struct	79	10	m_btOldFigure	BYTE	1
STONG_ACCEPT_INSTATE_COMMAND		EXTEND_HEADER	struct	79	11	m_btOldPos	BYTE	1
STONG_ACCEPT_INSTATE_COMMAND		EXTEND_HEADER	struct	79	12	m_btNewFigure	BYTE	1
STONG_ACCEPT_INSTATE_COMMAND		EXTEND_HEADER	struct	79	13	m_btNewPos	BYTE	1
STONG_ACCEPT_INSTATE_COMMAND		EXTEND_HEADER	struct	79	14	m_btAcceptFalg	BYTE	1
STONG_ACCEPT_INSTATE_COMMAND		EXTEND_HEADER	struct	79	15	m_szName	char[32]	32
STONG_ACCEPT_INSTATE_COMMAND		EXTEND_HEADER	struct	79	47	m_szOperater	char[32]	32
STONG_ACCEPT_MASTER_COMMAND		EXTEND_HEADER	struct	45	0	(base)	EXTEND_HEADER	2
STONG_ACCEPT_MASTER_COMMAND		EXTEND_HEADER	struct	45	2	m_dwParam	DWORD	4
STONG_ACCEPT_MASTER_COMMAND		EXTEND_HEADER	struct	45	6	m_dwTongNameID	DWORD	4
STONG_ACCEPT_MASTER_COMMAND		EXTEND_HEADER	struct	45	10	m_btFigure	BYTE	1
STONG_ACCEPT_MASTER_COMMAND		EXTEND_HEADER	struct	45	11	m_btPos	BYTE	1
STONG_ACCEPT_MASTER_COMMAND		EXTEND_HEADER	struct	45	12	m_btAcceptFalg	BYTE	1
STONG_ACCEPT_MASTER_COMMAND		EXTEND_HEADER	struct	45	13	m_szName	char[32]	32
STONG_ADD_MEMBER_COMMAND		EXTEND_HEADER	struct	148	0	(base)	EXTEND_HEADER	2
STONG_ADD_MEMBER_COMMAND		EXTEND_HEADER	struct	148	2	m_wLength	WORD	2
STONG_ADD_MEMBER_COMMAND		EXTEND_HEADER	struct	148	4	m_dwPlayerNameID	DWORD	4
STONG_ADD_MEMBER_COMMAND		EXTEND_HEADER	struct	148	8	m_dwParam	DWORD	4
STONG_ADD_MEMBER_COMMAND		EXTEND_HEADER	struct	148	12	m_dwOfferBring	DWORD	4
STONG_ADD_MEMBER_COMMAND		EXTEND_HEADER	struct	148	16	m_btSex	BYTE	1
STONG_ADD_MEMBER_COMMAND		EXTEND_HEADER	struct	148	17	m_btLevel	BYTE	1
STONG_ADD_MEMBER_COMMAND		EXTEND_HEADER	struct	148	18	m_szOperatorName	char[32]	32
STONG_ADD_MEMBER_COMMAND		EXTEND_HEADER	struct	148	50	m_btTongNameLength	BYTE	1
STONG_ADD_MEMBER_COMMAND		EXTEND_HEADER	struct	148	51	m_btPlayerNameLength	BYTE	1
STONG_ADD_MEMBER_COMMAND		EXTEND_HEADER	struct	148	52	m_szBuffer	char[96]	96
STONG_ADD_TAX_COMMAND		EXTEND_HEADER	struct	38	0	(base)	EXTEND_HEADER	2
STONG_ADD_TAX_COMMAND		EXTEND_HEADER	struct	38	2	m_dwMoney	DWORD	4
STONG_ADD_TAX_COMMAND		EXTEND_HEADER	struct	38	6	m_szTongName	char[32]	32
STONG_APPLY_DISPENSE_COMMAND		EXTEND_HEADER	struct	59	0	(base)	EXTEND_HEADER	2
STONG_APPLY_DISPENSE_COMMAND		EXTEND_HEADER	struct	59	2	m_dwParam	DWORD	4
STONG_APPLY_DISPENSE_COMMAND		EXTEND_HEADER	struct	59	6	m_dwNpcID	DWORD	4
STONG_APPLY_DISPENSE_COMMAND		EXTEND_HEADER	struct	59	10	m_dwTongNameID	DWORD	4
STONG_APPLY_DISPENSE_COMMAND		EXTEND_HEADER	struct	59	14	m_dwDirectorMoney	DWORD	4
STONG_APPLY_DISPENSE_COMMAND		EXTEND_HEADER	struct	59	18	m_dwManagerMoney	DWORD	4
STONG_APPLY_DISPENSE_COMMAND		EXTEND_HEADER	struct	59	22	m_dwMemberMoney	DWORD	4
STONG_APPLY_DISPENSE_COMMAND		EXTEND_HEADER	struct	59	26	m_szTongName	char[32]	32
STONG_APPLY_DISPENSE_COMMAND		EXTEND_HEADER	struct	59	58	m_btIsAll	BYTE	1
STONG_APPLY_LEAVE_UNION_COMMAND		EXTEND_HEADER	struct	111	0	(base)	EXTEND_HEADER	2
STONG_APPLY_LEAVE_UNION_COMMAND		EXTEND_HEADER	struct	111	2	m_dwParam	DWORD	4
STONG_APPLY_LEAVE_UNION_COMMAND		EXTEND_HEADER	struct	111	6	m_dwNpcID	DWORD	4
STONG_APPLY_LEAVE_UNION_COMMAND		EXTEND_HEADER	struct	111	10	m_dwTongNameID	DWORD	4
STONG_APPLY_LEAVE_UNION_COMMAND		EXTEND_HEADER	struct	111	14	m_btOpeID	BYTE	1
STONG_APPLY_LEAVE_UNION_COMMAND		EXTEND_HEADER	struct	111	15	m_szOpeName	char[32]	32
STONG_APPLY_LEAVE_UNION_COMMAND		EXTEND_HEADER	struct	111	47	m_szSelfTongName	char[32]	32
STONG_APPLY_LEAVE_UNION_COMMAND		EXTEND_HEADER	struct	111	79	m_szTarTongName	char[32]	32
STONG_APPLY_UNION_INFO_COMMAND		EXTEND_HEADER	struct	15	0	(base)	EXTEND_HEADER	2
STONG_APPLY_UNION_INFO_COMMAND		EXTEND_HEADER	struct	15	2	m_dwParam	DWORD	4
STONG_APPLY_UNION_INFO_COMMAND		EXTEND_HEADER	struct	15	6	m_dwNpcID	DWORD	4
STONG_APPLY_UNION_INFO_COMMAND		EXTEND_HEADER	struct	15	10	m_dwTongNameID	DWORD	4
STONG_APPLY_UNION_INFO_COMMAND		EXTEND_HEADER	struct	15	14	m_btApplyType	BYTE	1
STONG_BE_KICKED_SYNC		EXTEND_HEADER	struct	40	0	(base)	EXTEND_HEADER	2
STONG_BE_KICKED_SYNC		EXTEND_HEADER	struct	40	2	m_dwParam	DWORD	4
STONG_BE_KICKED_SYNC		EXTEND_HEADER	struct	40	6	m_btFigure	BYTE	1
STONG_BE_KICKED_SYNC		EXTEND_HEADER	struct	40	7	m_btPos	BYTE	1
STONG_BE_KICKED_SYNC		EXTEND_HEADER	struct	40	8	m_szName	char[32]	32
STONG_BILLBOARD_COMMAND		EXTEND_HEADER	struct	6	0	(base)	EXTEND_HEADER	2
STONG_BILLBOARD_COMMAND		EXTEND_HEADER	struct	6	2	m_dwParam	DWORD	4
STONG_BILLBOARD_SYNC		EXTEND_HEADER	struct	389	0	(base)	EXTEND_HEADER	2
STONG_BILLBOARD_SYNC		EXTEND_HEADER	struct	389	2	m_wLength	WORD	2
STONG_BILLBOARD_SYNC		EXTEND_HEADER	struct	389	4	m_dwParam	DWORD	4
STONG_BILLBOARD_SYNC		EXTEND_HEADER	struct	389	8	m_dwMemberNum	DWORD[10]	40
STONG_BILLBOARD_SYNC		EXTEND_HEADER	struct	389	48	m_btDataNum	BYTE	1
STONG_BILLBOARD_SYNC		EXTEND_HEADER	struct	389	49	m_btCamp	BYTE[10]	10
STONG_BILLBOARD_SYNC		EXTEND_HEADER	struct	389	59	m_btNameLen	BYTE[10]	10
STONG_BILLBOARD_SYNC		EXTEND_HEADER	struct	389	69	m_szName	char[320]	320
STONG_CHANGE_AS_SYNC		EXTEND_HEADER	struct	79	0	(base)	EXTEND_HEADER	2
STONG_CHANGE_AS_SYNC		EXTEND_HEADER	struct	79	2	m_dwParam	DWORD	4
STONG_CHANGE_AS_SYNC		EXTEND_HEADER	struct	79	6	m_dwTongNameID	DWORD	4
STONG_CHANGE_AS_SYNC		EXTEND_HEADER	struct	79	10	m_btFigure	BYTE	1
STONG_CHANGE_AS_SYNC		EXTEND_HEADER	struct	79	11	m_dwNameID	DWORD	4
STONG_CHANGE_AS_SYNC		EXTEND_HEADER	struct	79	15	m_szTitle	char[32]	32
STONG_CHANGE_AS_SYNC		EXTEND_HEADER	struct	79	47	m_szName	char[32]	32
STONG_CHANGE_EXP_COMMAND		EXTEND_HEADER	struct	47	0	(base)	EXTEND_HEADER	2
STONG_CHANGE_EXP_COMMAND		EXTEND_HEADER	struct	47	2	m_dwParam	DWORD	4
STONG_CHANGE_EXP_COMMAND		EXTEND_HEADER	struct	47	6	m_dwTongNameID	DWORD	4
STONG_CHANGE_EXP_COMMAND		EXTEND_HEADER	struct	47	10	m_btAddFlag	BYTE	1
STONG_CHANGE_EXP_COMMAND		EXTEND_HEADER	struct	47	11	m_dwExp	DWORD	4
STONG_CHANGE_EXP_COMMAND		EXTEND_HEADER	struct	47	15	m_szName	char[32]	32
STONG_CHANGE_EXP_SYNC		EXTEND_HEADER	struct	56	0	(base)	EXTEND_HEADER	2
STONG_CHANGE_EXP_SYNC		EXTEND_HEADER	struct	56	2	m_dwParam	DWORD	4
STONG_CHANGE_EXP_SYNC		EXTEND_HEADER	struct	56	6	m_btAddFlag	BYTE	1
STONG_CHANGE_EXP_SYNC		EXTEND_HEADER	struct	56	7	m_btSuccessFlag	BYTE	1
STONG_CHANGE_EXP_SYNC		EXTEND_HEADER	struct	56	8	m_dwTongNameID	DWORD	4
STONG_CHANGE_EXP_SYNC		EXTEND_HEADER	struct	56	12	m_dwExp	DWORD	4
STONG_CHANGE_EXP_SYNC		EXTEND_HEADER	struct	56	16	m_dwCurExp	DWORD	4
STONG_CHANGE_EXP_SYNC		EXTEND_HEADER	struct	56	20	m_dwCurLevel	DWORD	4
STONG_CHANGE_EXP_SYNC		EXTEND_HEADER	struct	56	24	m_szName	char[32]	32
STONG_CHANGE_JOB_CALL_COMMAND		EXTEND_HEADER	struct	47	0	(base)	EXTEND_HEADER	2
STONG_CHANGE_JOB_CALL_COMMAND		EXTEND_HEADER	struct	47	2	m_dwParam	DWORD	4
STONG_CHANGE_JOB_CALL_COMMAND		EXTEND_HEADER	struct	47	6	m_dwTongNameID	DWORD	4
STONG_CHANGE_JOB_CALL_COMMAND		EXTEND_HEADER	struct	47	10	m_btFigure	BYTE	1
STONG_CHANGE_JOB_CALL_COMMAND		EXTEND_HEADER	struct	47	11	m_dwMemberID	DWORD	4
STONG_CHANGE_JOB_CALL_COMMAND		EXTEND_HEADER	struct	47	15	m_szCall	char[32]	32
STONG_CHANGE_MASTER_COMMAND		EXTEND_HEADER	struct	44	0	(base)	EXTEND_HEADER	2
STONG_CHANGE_MASTER_COMMAND		EXTEND_HEADER	struct	44	2	m_dwParam	DWORD	4
STONG_CHANGE_MASTER_COMMAND		EXTEND_HEADER	struct	44	6	m_dwTongNameID	DWORD	4
STONG_CHANGE_MASTER_COMMAND		EXTEND_HEADER	struct	44	10	m_btFigure	BYTE	1
STONG_CHANGE_MASTER_COMMAND		EXTEND_HEADER	struct	44	11	m_btPos	BYTE	1
STONG_CHANGE_MASTER_COMMAND		EXTEND_HEADER	struct	44	12	m_szName	char[32]	32
STONG_CHANGE_MASTER_FAIL_SYNC		EXTEND_HEADER	struct	43	0	(base)	EXTEND_HEADER	2
STONG_CHANGE_MASTER_FAIL_SYNC		EXTEND_HEADER	struct	43	2	m_dwParam	DWORD	4
STONG_CHANGE_MASTER_FAIL_SYNC		EXTEND_HEADER	struct	43	6	m_dwTongNameID	DWORD	4
STONG_CHANGE_MASTER_FAIL_SYNC		EXTEND_HEADER	struct	43	10	m_btFailID	BYTE	1
STONG_CHANGE_MASTER_FAIL_SYNC		EXTEND_HEADER	struct	43	11	m_szName	char[32]	32
STONG_CHANGE_MASTER_SYNC		EXTEND_HEADER	struct	38	0	(base)	EXTEND_HEADER	2
STONG_CHANGE_MASTER_SYNC		EXTEND_HEADER	struct	38	2	m_dwTongNameID	DWORD	4
STONG_CHANGE_MASTER_SYNC		EXTEND_HEADER	struct	38	6	m_szName	char[32]	32
STONG_CHANGE_MONEY_SYNC		EXTEND_HEADER	struct	56	0	(base)	EXTEND_HEADER	2
STONG_CHANGE_MONEY_SYNC		EXTEND_HEADER	struct	56	2	m_dwParam	DWORD	4
STONG_CHANGE_MONEY_SYNC		EXTEND_HEADER	struct	56	6	m_btSaveFlag	BYTE	1
STONG_CHANGE_MONEY_SYNC		EXTEND_HEADER	struct	56	7	m_btSuccessFlag	BYTE	1
STONG_CHANGE_MONEY_SYNC		EXTEND_HEADER	struct	56	8	m_dwTongNameID	DWORD	4
STONG_CHANGE_MONEY_SYNC		EXTEND_HEADER	struct	56	12	m_dwMoneyFundChange	DWORD	4
STONG_CHANGE_MONEY_SYNC		EXTEND_HEADER	struct	56	16	m_llMoneyFund	INT64	8
STONG_CHANGE_MONEY_SYNC		EXTEND_HEADER	struct	56	24	m_szName	char[32]	32
STONG_CREATE_COMMAND		EXTEND_HEADER	struct	85	0	(base)	EXTEND_HEADER	2
STONG_CREATE_COMMAND		EXTEND_HEADER	struct	85	2	m_wLength	WORD	2
STONG_CREATE_COMMAND		EXTEND_HEADER	struct	85	4	m_dwPlayerNameID	DWORD	4
STONG_CREATE_COMMAND		EXTEND_HEADER	struct	85	8	m_dwParam	DWORD	4
STONG_CREATE_COMMAND		EXTEND_HEADER	struct	85	12	m_btCamp	BYTE	1
STONG_CREATE_COMMAND		EXTEND_HEADER	struct	85	13	m_btSex	BYTE	1
STONG_CREATE_COMMAND		EXTEND_HEADER	struct	85	14	m_btLevel	BYTE	1
STONG_CREATE_COMMAND		EXTEND_HEADER	struct	85	15	m_btTongNameLength	BYTE	1
STONG_CREATE_COMMAND		EXTEND_HEADER	struct	85	16	m_btPlayerNameLength	BYTE	1
STONG_CREATE_COMMAND		EXTEND_HEADER	struct	85	17	m_dwOffer	DWORD	4
STONG_CREATE_COMMAND		EXTEND_HEADER	struct	85	21	m_szBuffer	char[64]	64
STONG_CREATE_FAIL_SYNC		EXTEND_HEADER	struct	11	0	(base)	EXTEND_HEADER	2
