# generated by tools/ida/dump_send_ids.py
# 8401 functions decompiled, 1 failed, 575 assignments found
struct	field	value	function	count
NPC_SYNC_STATEINFO	cProtocol	122	_ZN4KNpc13SyncCastStateEv	1
NPC_SYNC_STATEINFO	cProtocol	122	_ZN4KNpc14BroadCastStateEv	1
NPC_SYNC_STATEINFO	cProtocol	122	_ZN7KNpcSet14SyncNpc2PlayerEmii	1
NPC_WALK_SYNC	cProtocol	80	_ZN4KNpc6DoWalkEv	1
OBJ_ADD_SYNC	cProtocol	100	_ZN4KObj7SyncAddEP7KPlayer	1
OBJ_ADD_SYNC	cProtocol	100	_ZN7KObjSet3AddEi7KMapPos12KObjItemInfo	1
OBJ_SYNC_DIR	cProtocol	102	_ZN4KObj7SyncDirEv	1
OBJ_SYNC_REMOVE	cProtocol	103	_ZN4KObj10SyncRemoveEi	1
OBJ_SYNC_STATE	cProtocol	101	_ZN4KObj9SyncStateEv	1
OBJ_SYNC_TRAP_ACT	cProtocol	104	_ZN4KObj7TrapActEv	1
OFFLINELIVE_CLAIM	ProtocolFamily	0	_ZN7KPlayer11OfflineLiveEv	1
OFFLINELIVE_CLAIM	ProtocolID	-115	_ZN7KPlayer11OfflineLiveEv	1
ONE_ATTR_SYNC	cProtocol	-45	_Z23LuaSetPlayerFortuneRankP9lua_State	1
OPEN_STORE_BOX_SYNC	cProtocol	-120	_Z10LuaOpenBoxP9lua_State	1
OPEN_STORE_BOX_SYNC	cProtocol	-120	_Z15LuaOpenStoreBoxP9lua_State	1
PARTNER_CTRL_INFO	cProtocol	-68	_ZN18KPlayerPartnerCtrl13SetCurPartnerEi	1
PARTNER_CTRL_INFO	cProtocol	-68	_ZN18KPlayerPartnerCtrl17CallOutCurPartnerEi	1
PARTNER_CTRL_INFO	cProtocol	-68	_ZN18KPlayerPartnerCtrl23SetCurPartnerFollowOnlyEi	1
PARTNER_NAME_SYNC	cProtocol	-68	_ZN13KFightPartner7SetNameEPKc	1
PARTNER_SIMPLE_INFO_1	cProtocol	-68	_ZN18KPlayerPartnerCtrl15SendSimpleInfo1E26enumPartnerSubProtocolTypeh	1
PARTNER_SIMPLE_INFO_2	cProtocol	-68	_ZN18KPlayerPartnerCtrl15SendSimpleInfo2E26enumPartnerSubProtocolTypet	1
PARTNER_SIMPLE_INFO_4	cProtocol	-68	_ZN18KPlayerPartnerCtrl15SendSimpleInfo4E26enumPartnerSubProtocolTypem	1
PARTNER_TASK_VALUE_SYNC	cProtocol	-68	_ZN13KFightPartner12SetTaskValueEii	1
PING_COMMAND	cProtocol	-126	_ZN11KServerCore10PingClientEm	1
PING_COMMAND	cProtocol	-103	_ZN14KClientProcess16ProcessPingReplyEmPKcj	1
PING_COMMAND	cProtocol	112	_ZN11KServerCore4LoopEmmi	1
PK_ENMITY_STATE_SYNC	cProtocol	-111	_ZN9KPlayerPK12EnmityPKOpenEi	1
PK_ENMITY_STATE_SYNC	cProtocol	-111	_ZN9KPlayerPK13EnmityPKCloseEv	1
PK_ENMITY_STATE_SYNC	cProtocol	-111	_ZN9KPlayerPK17EnmityPKCountDownEv	1
PK_EXERCISE_STATE_SYNC	cProtocol	-110	_ZN9KPlayerPK14ExercisePKOpenEi	1
PK_EXERCISE_STATE_SYNC	cProtocol	-110	_ZN9KPlayerPK15ExercisePKCloseEv	1
PK_NORMAL_FLAG_SYNC	cProtocol	-112	_ZN9KPlayerPK16SetNormalPKStateE17KE_NORMALPKSTATUSi	1
PK_VALUE_SYNC	cProtocol	-109	_ZN9KPlayerPK10SetPKValueEi	1
PLAYERCOMM_NOTIFYCHANNELID	ProtocolFamily	4	_ZN24CChatRoomRelayMsgProcess17NotifyChatChannelEi	1
PLAYERCOMM_NOTIFYCHANNELID	ProtocolFamily	4	_ZN24CChatRoomRelayMsgProcess17Process_EnterRoomEPvi	1
PLAYER_ALL_TASKVALUE_SYNC	cProtocol	-75	_ZN7KPlayer25SyncTaskValueMoreToClientEiii	2
PLAYER_ATTRIBUTE_SYNC	cProtocol	93	_Z15LuaAddPropPointP9lua_State	1
PLAYER_ATTRIBUTE_SYNC	cProtocol	93	_ZN7KPlayer14AddBaseEngergyEii	1
PLAYER_ATTRIBUTE_SYNC	cProtocol	93	_ZN7KPlayer15AddBaseStrengthEii	1
PLAYER_ATTRIBUTE_SYNC	cProtocol	93	_ZN7KPlayer15AddBaseVitalityEii	1
PLAYER_ATTRIBUTE_SYNC	cProtocol	93	_ZN7KPlayer16AddBaseDexterityEii	1
PLAYER_DISABLEDFLAG_SYNC	cProtocol	-92	_ZN7KPlayer12SendSyncDataERiRj	1
PLAYER_DISABLEDFLAG_SYNC	cProtocol	-92	_ZN7KPlayer19SetDisabledFuncFlagEm	1
PLAYER_EXP_SYNC2	cProtocol	-58	_ZN7KPlayer12DirectAddExpEx	1
PLAYER_FACTION_DATA	cProtocol	123	_ZN7KPlayer15SendFactionDataEv	1
PLAYER_FACTION_SKILL_LEVEL	cProtocol	125	_ZN7KPlayer19CurFactionOpenSkillEi	1
PLAYER_LEAD_EXP_SYNC	cProtocol	127	_ZN7KPlayer10AddLeadExpEi	1
PLAYER_LEAVE_FACTION	cProtocol	124	_ZN7KPlayer15LeaveCurFactionEv	1
PLAYER_LEVEL_UP_SYNC	cProtocol	128	_ZN7KPlayer11SyncLevelUpEPS_	1
PLAYER_MONEY_SYNC	cProtocol	97	_ZN9KItemList13SendMoneySyncEv	1
PLAYER_MOVE_ITEM_SYNC	cProtocol	98	_ZN9KItemList16ExchangeItemHandEP7ItemPosS1_	1
PLAYER_NORMAL_SYNC	cProtocol	75	_ZN4KNpc10NormalSyncEP7KPlayer	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_Z11LuaOpenTongP9lua_State	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_Z11LuaRollItemP9lua_State	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_Z14Lua_GiveItemUIP9lua_State	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_Z15LuaAddLocalNewsP9lua_State	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_Z15LuaAddTempMagicP9lua_State	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_Z15LuaOpenDiceGameP9lua_State	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_Z16LuaAddGlobalNewsP9lua_State	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_Z17LuaOpenTongZhaoMuP9lua_State	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_Z19LuaAddLocalTimeNewsP9lua_State	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_Z20LuaAddGlobalTimeNewsP9lua_State	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_Z20LuaAddLocalCountNewsP9lua_State	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_Z21LuaAddGlobalCountNewsP9lua_State	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_Z23LuaOpenChangeTongCampUIP9lua_State	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_Z23LuaSetImmediately_SkillP9lua_State	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_ZN11KServerTime22SyncServerTimeToClientEP7KPlayer	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_ZN11KSimpleSync8SendSyncEP7KPlayerPNS_15TSimpleSyncDataE	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_ZN12KPlayerTitle13SyncTempSkillEmi	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_ZN12KPlayerTitle13SyncTitleInfoEv	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_ZN4KNpc17SyncNoChangeSpeedEv	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_ZN7KPlayer12SyncGoldCoinEi	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_ZN7KPlayer14DoScriptActionEP27tagPLAYER_SCRIPTACTION_SYNC	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_ZN7KPlayer14ForbitUseSkillEb	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_ZN7KPlayer14ShowPersonInfoEi	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_ZN7KPlayer15SetAForbitSkillEii	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_ZN7KPlayer16S2CExecuteScriptEPcS0_	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_ZN7KPlayer19NotifyUiProgressBarEiiPKc	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_ZN8KBuySell21OpenItemBussinessSaleEii12CurrencyTypeiPKc	1
PLAYER_SCRIPTACTION_SYNC	cProtocol	99	_ZN9KDiceGame11ProcessGameEP7KPlayerP23PLAYER_SELECTUI_COMMAND	2
PLAYER_SEND_CHAT_SYNC	cProtocol	126	_ZN11KPlayerChat14ServerSendChatEiPh	5
PLAYER_SKILL_LEVEL_SYNC	cProtocol	94	_Z11LuaAddMagicP9lua_State	1
PLAYER_SKILL_LEVEL_SYNC	cProtocol	94	_Z11LuaDelMagicP9lua_State	1
PLAYER_SKILL_LEVEL_SYNC	cProtocol	94	_Z16LuaAddMagicPointP9lua_State	1
PLAYER_SKILL_LEVEL_SYNC	cProtocol	94	_Z17LuaRollBackSkillsP9lua_State	1
PLAYER_SKILL_LEVEL_SYNC	cProtocol	94	_ZN10KSkillList11AddSkillExpEP12KMagicAttribi	1
PLAYER_SKILL_LEVEL_SYNC	cProtocol	94	_ZN7KPlayer13AddSkillPointEPh	1
PLAYER_SYNC	cProtocol	74	_ZN4KNpc10SyncPlayerEP7KPlayer	1
PLAYER_TASKVALUE_SYNC	cProtocol	-89	_ZN7KPlayer21SyncTaskValueToClientEi	1
RELAY_DATA	ProtocolFamily	1	_ZN19KNewProtocolProcess13SendRelayDataEPKvj	1
RELAY_DATA	ProtocolFamily	1	_ZN19KNewProtocolProcess15BroadcastGlobalEPKvj	1
RELAY_DATA	ProtocolFamily	8	_ZN19KNewProtocolProcess22P_ProcessKillerWiseManEmmiPhi	1
RELAY_DATA	ProtocolFamily	8	_ZN19KNewProtocolProcess25P_ProcessKillerCreateTaskEmmiPhi	1
RELAY_DATA	ProtocolID	33	_ZN19KNewProtocolProcess13SendRelayDataEPKvj	1
RELAY_DATA	ProtocolID	33	_ZN19KNewProtocolProcess15BroadcastGlobalEPKvj	1
RELAY_DATA	ProtocolID	33	_ZN19KNewProtocolProcess22P_ProcessKillerWiseManEmmiPhi	1
RELAY_DATA	ProtocolID	33	_ZN19KNewProtocolProcess25P_ProcessKillerCreateTaskEmmiPhi	1
RELAY_DYNMAP_CREAT_INFO	ProtocolFamily	1	_Z11Lua_LoadMapP9lua_State	1
RELAY_DYNMAP_CREAT_INFO	ProtocolFamily	1	_ZN12KHostProcess14ProcessMessageEPKvj	2
RELAY_DYNMAP_CREAT_INFO	ProtocolID	52	_Z11Lua_LoadMapP9lua_State	1
RELAY_DYNMAP_CREAT_INFO	ProtocolID	52	_ZN12KHostProcess14ProcessMessageEPKvj	2
RELAY_DYNMAP_DELETE_RESULT	ProtocolFamily	1	_ZN12KHostProcess14ProcessMessageEPKvj	1
RELAY_DYNMAP_DELETE_RESULT	ProtocolID	54	_ZN12KHostProcess14ProcessMessageEPKvj	1
RELAY_PING	ProtocolFamily	15	_ZN21CClientPingConnection16ApplyCheckSafetyEv	1
RELAY_PING	ProtocolID	43	_ZN21CClientPingConnection16ApplyCheckSafetyEv	1
RELAY_QUERY_MAP	ProtocolFamily	1	_ZN14KBishopProcess23GatewaySmallPackProcessEPKvj	1
RELAY_QUERY_MAP	ProtocolID	49	_ZN14KBishopProcess23GatewaySmallPackProcessEPKvj	1
ROLENAME_CHANGE	ProtocolFamily	0	_ZN22CRoleNameChangeHistory11SendRequestEPKcS1_S1_	1
ROLENAME_CHANGE	ProtocolID	-97	_ZN22CRoleNameChangeHistory11SendRequestEPKcS1_S1_	1
S2C_TEAM_APPLY_ADD	cProtocol	105	_ZN7KPlayer18S2CSendAddTeamInfoEP18C2S_APPLY_ADD_TEAM	1
S2C_TEAM_APPLY_INFO_FALSE	cProtocol	105	_ZN7KPlayer15S2CSendTeamInfoEP19C2S_APPLY_TEAM_INFO	1
S2C_TEAM_AUTO_CHANGE_CAPTAIN	cProtocol	105	_ZN5KTeam17AutoChangeCaptionEv	1
S2C_TEAM_CHANGE_CAPTAIN	cProtocol	105	_ZN7KPlayer17TeamChangeCaptainEP23C2S_TEAM_CHANGE_CAPTAIN	1
S2C_TEAM_CREATE_TEAM_FALSE	cProtocol	105	_ZN11KPlayerTeam10CreateTeamEiP21C2S_APPLY_CREATE_TEAM	3
S2C_TEAM_CREATE_TEAM_SUCCESS	cProtocol	105	_ZN11KPlayerTeam10CreateTeamEiP21C2S_APPLY_CREATE_TEAM	1
S2C_TEAM_CREATE_TEAM_SUCCESS	cProtocol	105	_ZN5KTeam10BuildATeamEPiiii	1
S2C_TEAM_INVITE_ADD	cProtocol	105	_ZN11KPlayerTeam9InviteAddEiP19C2S_TEAM_INVITE_ADD	1
S2C_TEAM_LEAVE	cProtocol	105	_ZN5KTeam12DeleteMemberEi	1
S2C_TEAM_LEAVE	cProtocol	105	_ZN5KTeam8QuitTeamEv	1
S2C_TEAM_LEAVE	cProtocol	105	_ZN7KPlayer11TeamDismissEP16C2S_TEAM_DISMISS	1
S2C_TEAM_LEAVE	cProtocol	105	_ZN7KPlayer16SendSelfTeamInfoEv	1
S2C_TEAM_OPEN_CLOSE	cProtocol	105	_ZN5KTeam11SetTeamOpenEv	1
S2C_TEAM_OPEN_CLOSE	cProtocol	105	_ZN5KTeam12SetTeamCloseEv	1
S2C_TEAM_SELF_INFO	cProtocol	105	_ZN11KPlayerTeam14GetInviteReplyEiii	1
S2C_TEAM_SELF_INFO	cProtocol	105	_ZN5KTeam10BuildATeamEPiiii	1
S2C_TEAM_SELF_INFO	cProtocol	105	_ZN7KPlayer13AddTeamMemberEP22C2S_ACCEPT_TEAM_MEMBER	1
S2C_TEAM_SELF_INFO	cProtocol	105	_ZN7KPlayer16SendSelfTeamInfoEv	1
S2C_TEAM_TEAMMATE_LEVEL	cProtocol	105	_ZN7KPlayer7LevelUpEi	1
S2R_ADD_TAG_REQUEST	ProtocolFamily	1	_ZN16KProtocolProcess15OnAddTagRequestEiPh	1
S2R_ADD_TAG_REQUEST	ProtocolID	77	_ZN16KProtocolProcess15OnAddTagRequestEiPh	1
S2R_DEL_TAG_REQUEST	ProtocolFamily	1	_ZN16KProtocolProcess15OnDelTagRequestEiPh	1
S2R_DEL_TAG_REQUEST	ProtocolID	78	_ZN16KProtocolProcess15OnDelTagRequestEiPh	1
S2R_GET_TAGS_REQUEST	ProtocolFamily	1	_ZN16KProtocolProcess16OnGetTagsRequestEiPh	1
S2R_GET_TAGS_REQUEST	ProtocolID	68	_ZN16KProtocolProcess16OnGetTagsRequestEiPh	1
S2R_QUERY_STAT_ID_REQUEST	ProtocolFamily	1	_ZN11KServerCore20DoQueryStatIDRequestEPKc	1
S2R_QUERY_STAT_ID_REQUEST	ProtocolID	64	_ZN11KServerCore20DoQueryStatIDRequestEPKc	1
S2R_SET_FRIEND_PUBLISH_FLAG	ProtocolFamily	1	_ZN16KProtocolProcess26OnSetCanPublishFlagRequestEiPh	1
S2R_SET_FRIEND_PUBLISH_FLAG	ProtocolID	79	_ZN16KProtocolProcess26OnSetCanPublishFlagRequestEiPh	1
S2R_SET_STAT_DATA_REQUEST	ProtocolFamily	1	_ZN11KServerCore25DoSetStatDataValueRequestEPKcx	1
S2R_SET_STAT_DATA_REQUEST	ProtocolID	67	_ZN11KServerCore25DoSetStatDataValueRequestEPKcx	1
SALE_BOX_SYNC	cProtocol	-124	_ZN8KBuySell8OpenSaleEii12CurrencyTypeiPKc	1
SALE_STORES_SYNC	cProtocol	-48	_ZN8KBuySell10OpenStoresEi	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN11KPlayerTeam14GetInviteReplyEiii	2
SHOW_MSG_SYNC	cProtocol	-122	_ZN11KPlayerTeam9InviteAddEiP19C2S_TEAM_INVITE_ADD	2
SHOW_MSG_SYNC	cProtocol	-122	_ZN11KPlayerTong5LeaveEP26STONG_SERVER_TO_CORE_LEAVE	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN11KPlayerTong5LeaveEv	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN11KPlayerTong7DismissEv	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN11KPlayerTong8BeKickedEv	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN11KPlayerTong8ChangeAsEP30STONG_SERVER_TO_CORE_CHANGE_AS	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN13KFightPartner7CallOutEi	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN16KProtocolProcess16c2sPKApplyEnmityEiPh	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN18KPlayerPartnerCtrl20c2sCtrlRemovePartnerEiPh	2
SHOW_MSG_SYNC	cProtocol	-122	_ZN18KPlayerPartnerCtrl9DoCallOutEiii	2
SHOW_MSG_SYNC	cProtocol	-122	_ZN4KNpc11DeathPunishEiii	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN4KNpc14LoseSingleItemEii	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN5KTeam10BuildATeamEPiiii	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN5KTeam11SetTeamOpenEv	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN5KTeam12DeleteMemberEi	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN5KTeam8QuitTeamEv	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN7KPlayer11TeamDismissEP16C2S_TEAM_DISMISS	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN7KPlayer11TeamKickOneEP20C2S_TEAM_KICK_MEMBER	2
SHOW_MSG_SYNC	cProtocol	-122	_ZN7KPlayer13AddTeamMemberEP22C2S_ACCEPT_TEAM_MEMBER	3
SHOW_MSG_SYNC	cProtocol	-122	_ZN7KPlayer13TradeDecisionEPh	2
SHOW_MSG_SYNC	cProtocol	-122	_ZN7KPlayer14ServerMoveItemEPh	2
SHOW_MSG_SYNC	cProtocol	-122	_ZN7KPlayer15TeamReplyInviteEP21C2S_TEAM_REPLY_INVITE	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN7KPlayer16ServerPickUpItemEPh	4
SHOW_MSG_SYNC	cProtocol	-122	_ZN7KPlayer17TeamChangeCaptainEP23C2S_TEAM_CHANGE_CAPTAIN	3
SHOW_MSG_SYNC	cProtocol	-122	_ZN7KPlayer18S2CSendAddTeamInfoEP18C2S_APPLY_ADD_TEAM	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN7KPlayer18c2sTradeReplyStartEPh	3
SHOW_MSG_SYNC	cProtocol	-122	_ZN7KPlayer23UpdateEquipLeftUageTimeEm	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN7KPlayer8PkPunishEPS_	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN7KPlayer9LeaveTeamEP20C2S_APPLY_LEAVE_TEAM	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN9KItemList11EatMecidineEim	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN9KItemList13AutoLoseEquipEv	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN9KItemList13CheckPassWordEm	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN9KItemList15DeactivateEquipEiiPSt6vectorI13KITEM_CONSUMESaIS1_EE	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN9KItemList16ExchangeItemHandEP7ItemPosS1_	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN9KItemList23AbradePercentInAllEquipEi	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN9KItemList29AutoLoseItemFromEquipmentRoomEi	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN9KItemList33ConstantLoseItemFromEquipmentRoomEv	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN9KItemList6AbradeEi	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN9KPlayerPK11CheckLockPKEi	1
SHOW_MSG_SYNC	cProtocol	-122	_ZN9KPlayerPK12EnmityPKOpenEi	7
SHOW_MSG_SYNC	cProtocol	-122	_ZN9KPlayerPK16SetNormalPKStateE17KE_NORMALPKSTATUSi	1
SIMPLE_INFO_8	cProtocol	-63	_Z21ITEM_SetLeftUsageTimeP9lua_State	1
SIMPLE_INFO_8	cProtocol	-63	_ZN7KPlayer23UpdateEquipLeftUageTimeEm	1
SKILL_SEND_ALL_SYNC	cProtocol	69	_ZN7KPlayer18SendSyncData_SkillEv	1
STALL_RETVALUE	ProtocolType	-99	_ZN12KPlayerStall15c2sstallbuyitemEPh	1
STALL_TAXRATE_SYNC	ProtocolType	-99	_ZN12KPlayerStall20ProcessStallProtocolEPh	1
STALL_TRADE_SUCCESS	ProtocolType	-99	_ZN12KPlayerStall15c2sstallbuyitemEPh	1
STATE_EFFECT_SYNC	cProtocol	-121	_ZN4KNpc19SetStateSkillEffectEiiiPK12KMagicAttribiiiiiii	1
STATE_EFFECT_SYNC	cProtocol	-121	_ZN4KNpc21ClearStateSkillEffectEiiii	1
STATE_EFFECT_SYNC	cProtocol	-121	_ZN4KNpc22RemoveStateSkillEffectEii	1
STONG_ACCEPT_INSTATE_COMMAND	ProtocolFamily	6	_ZN12KTongProcess14ProcessMessageEPKvj	1
STONG_ACCEPT_INSTATE_COMMAND	ProtocolID	10	_ZN12KTongProcess14ProcessMessageEPKvj	1
STONG_ACCEPT_MASTER_COMMAND	ProtocolFamily	6	_ZN12KTongProcess14ProcessMessageEPKvj	2
STONG_ACCEPT_MASTER_COMMAND	ProtocolID	9	_ZN12KTongProcess14ProcessMessageEPKvj	2
STONG_ADD_MEMBER_COMMAND	ProtocolFamily	6	_Z18LuaGMTongAddMemberP9lua_State	1
STONG_ADD_MEMBER_COMMAND	ProtocolFamily	6	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_ADD_MEMBER_COMMAND	ProtocolID	1	_Z18LuaGMTongAddMemberP9lua_State	1
STONG_ADD_MEMBER_COMMAND	ProtocolID	1	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_ADD_TAX_COMMAND	ProtocolFamily	6	_ZN8CTongTax17SendMsgTongAddTaxEi	1
STONG_ADD_TAX_COMMAND	ProtocolID	22	_ZN8CTongTax17SendMsgTongAddTaxEi	1
STONG_APPLY_DISPENSE_COMMAND	ProtocolFamily	6	_ZN11KPlayerTong13ApplyDispenseEPK24tagTONG_DISPENSE_COMMAND	1
STONG_APPLY_DISPENSE_COMMAND	ProtocolID	20	_ZN11KPlayerTong13ApplyDispenseEPK24tagTONG_DISPENSE_COMMAND	1
STONG_APPLY_LEAVE_UNION_COMMAND	ProtocolFamily	6	_ZN11KPlayerTong19DealLeaveUnionApplyEPK27tagTONG_LEAVE_UNION_COMMAND	1
STONG_APPLY_LEAVE_UNION_COMMAND	ProtocolID	18	_ZN11KPlayerTong19DealLeaveUnionApplyEPK27tagTONG_LEAVE_UNION_COMMAND	1
STONG_APPLY_UNION_INFO_COMMAND	ProtocolFamily	6	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_APPLY_UNION_INFO_COMMAND	ProtocolID	16	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_BILLBOARD_COMMAND	ProtocolFamily	6	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_BILLBOARD_COMMAND	ProtocolID	12	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_CHANGE_EXP_COMMAND	ProtocolFamily	6	_ZN11KPlayerTong14ApplyChangeExpEimPc	1
STONG_CHANGE_EXP_COMMAND	ProtocolFamily	6	_ZN11KPlayerTong9ChangeExpEmi	1
STONG_CHANGE_EXP_COMMAND	ProtocolID	14	_ZN11KPlayerTong14ApplyChangeExpEimPc	1
STONG_CHANGE_EXP_COMMAND	ProtocolID	14	_ZN11KPlayerTong9ChangeExpEmi	1
STONG_CHANGE_JOB_CALL_COMMAND	ProtocolFamily	6	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_CHANGE_JOB_CALL_COMMAND	ProtocolID	11	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_CHANGE_MASTER_COMMAND	ProtocolFamily	6	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_CHANGE_MASTER_COMMAND	ProtocolID	8	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_CREATE_COMMAND	ProtocolFamily	6	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_CREATE_COMMAND	ProtocolID	0	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_CREATE_UNION_COMMAND	ProtocolFamily	6	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_CREATE_UNION_COMMAND	ProtocolID	15	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_GM_ADD_TIME_COMMAND	ProtocolFamily	6	_ZN11KPlayerTong12GMSetAddTimeEiiiPcS0_	1
STONG_GM_ADD_TIME_COMMAND	ProtocolID	27	_ZN11KPlayerTong12GMSetAddTimeEiiiPcS0_	1
STONG_GM_DISMISS_COMMAND	ProtocolFamily	6	_ZN11KPlayerTong9GMDismissEPc	1
STONG_GM_DISMISS_COMMAND	ProtocolID	28	_ZN11KPlayerTong9GMDismissEPc	1
STONG_GM_SET_LEVEL_COMMAND	ProtocolFamily	6	_ZN11KPlayerTong10GMSetLevelEiPc	1
STONG_GM_SET_LEVEL_COMMAND	ProtocolFamily	6	_ZN11KPlayerTong8GMSetExpEmPc	1
STONG_GM_SET_LEVEL_COMMAND	ProtocolID	26	_ZN11KPlayerTong10GMSetLevelEiPc	1
STONG_GM_SET_LEVEL_COMMAND	ProtocolID	26	_ZN11KPlayerTong8GMSetExpEmPc	1
STONG_GM_SET_MASTER_COMMAND	ProtocolFamily	6	_ZN11KPlayerTong11GMSetMasterEPcS0_	1
STONG_GM_SET_MASTER_COMMAND	ProtocolID	25	_ZN11KPlayerTong11GMSetMasterEPcS0_	1
STONG_INSTATE_COMMAND	ProtocolFamily	6	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_INSTATE_COMMAND	ProtocolID	5	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_LEAVE_COMMAND	ProtocolFamily	6	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_LEAVE_COMMAND	ProtocolID	7	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_LEVEL_BILLBOARD_COMMAND	ProtocolFamily	6	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_LEVEL_BILLBOARD_COMMAND	ProtocolID	21	_ZN14KClientProcess20ProcessPlayerTongMsgEmPKcj	1
STONG_SYSTEM_CHANGE_MONEY_COMMAND	ProtocolFamily	6	_ZN11KPlayerTong16ApplyChangeMoneyEimPc	1
STONG_SYSTEM_CHANGE_MONEY_COMMAND	ProtocolID	23	_ZN11KPlayerTong16ApplyChangeMoneyEimPc	1
STONG_SYSTEM_MOVE_EXP_COMMAND	ProtocolFamily	6	_ZN11KPlayerTong18ApplySystemMoveExpEmPKcS1_	1
STONG_SYSTEM_MOVE_EXP_COMMAND	ProtocolID	24	_ZN11KPlayerTong18ApplySystemMoveExpEmPKcS1_	1
